Midwest Throwdown 2026,College - Men ,28,2,2026
"Edwardsville, IL & Warrenton,",MO,2026-02-28,2026-03-01
https://play.usaultimate.org/events/Midwest-Throwdown-2026/schedule/Men/CollegeMen/
Southern Illinois-Edwardsville,1
teamInfo,SIEGE,"Edwardsville, Illinois",,,
1,Hector Chaidez
2,Jadin Johnson
5,Kaden Schleeper
6,Sam Dawson
7,Augustino Ojeda
8,Jonathan Zawitkowski
9,Lucas Hanson
10,Jacob Geisen
11,Dillon McGinnis
12,Nathan  Burrell
13,Christian Kult
14,Victor Chaidez
16,Nicholas  Smith
17,Alec Screnchuk
18,Keaton Anderson
22,Logan Jaynes
26,Evan Driscoll
30,Jesse Zawitkowski
38,Arik Screnchuk
b,r,e,a,k
St Olaf,5
teamInfo,Berzerkers,"Northfield, Minnesota",https://zerksultimate.weebly.com/,https://www.facebook.com/stozerks/,https://twitter.com/zerksultimate?lang=en
0,Jake Schmidt
1,Ian Westerberg
2,Zach Bollman
3,Caleb Hanse
4,Jackson Forebaugh
5,Harper O'Dowd
6,Oskar Nunemacher
9,Owen Lehmkuhl
10,Daniel Brown
12,Josh Stanton
13,Liam Griffin
14,Carter Petrella
15,Seamus  Sidney
16,Taro Jelinek
17,Isaac Van Sistine
19,Jonas Geere
21,Leo Benson
22,Walker Brownell
24,Bjorn Lief
41,Murphy Galvin
42,Kemble Rains
46,Jake Magner
64,Hayden Fahnhorst
68,Maclain  Everson-Rose
77,Max Sponseller
88,Taiga Kuzu
89,Ethan Landgreen
91,Gabriel Badillo Moorman
99,Ian O'Fallon
b,r,e,a,k
Iowa,8
teamInfo,IHUC,"Iowa City, Iowa",https://sites.google.com/site/iowahawkeyeultimateclub/,https://www.facebook.com/groups/564875686867551/,https://twitter.com/UofIowaUltimate
0,Calahan Rourke
0,Jack McIntyre
0,Ryan Lewis
2,Oliver Bostian
3,Alex Kapaun
7,Hale Halvorson
9,Chris Markiewicz
9,Joshua Vierke
11,Nicholas Quast
12,Jason Chen
14,Riley Dobush
20,Tony Abdel-Malek
24,Alec Detzel
27,Mario Ortiz
28,Tanner Peavy
32,William Walters
41,John Lorenz
54,Henry Strauss
72,Harvey Fiorato
91,Thomas Helm
97,Michael Roper
b,r,e,a,k
Iowa State,4
teamInfo,ISUC,"Ames, Iowa",https://www.stuorg.iastate.edu/isuc,https://www.facebook.com/IowaStateUltimate,https://twitter.com/ISUltimate
0,Caleb Kugel
0,Ellery Sabado
0,Ellis Perniel
0,Jake Ebersole
0,Matthew Glanzmann
0,Mike Cawiezell
0,Nicholas Messerges
0,Owen Jewell
1,Gabe Schoepke
2,Joey Clarke
4,Zachary Bye
5,Taylor Ajax
6,Logan Heileman
8,Luis Buque
9,Emerson Sabado
11,Hrushi Bhatt
14,Bode Benson
19,Jason Carlson
22,Owen Hewitson
23,Malcolm Chow
27,Carson Burr
30,Eli Bartin
33,Sean Fjellman
43,Eli Davis
55,Nicholaus Lee
87,Jason Dejung
98,Luke Walsh
b,r,e,a,k
Illinois,2
teamInfo,Rise,"Champaign, Illinois",https://illinoisrise.com/#/home,,https://twitter.com/Illinois_Rise
0,Abe Palmer
0,Alex Paulauskas
0,Eric Cai
