Stanford Open 2026,College - Men ,7,2,2026
Palo Alto,CA,2026-02-07,2026-02-08
https://play.usaultimate.org/events/Stanford-Open-2026/schedule/Men/CollegeMen/
Simon Fraser,1
teamInfo,SFU Red Leafs,"Burnaby, British Columbia CA",,,
0,Ali Safdari
0,Andrei Jerome Reyes
0,Charles Ferguson
0,Daniel Nguyen
0,Daniel Rowe
0,Evan Chen
0,Josh Lee
0,Joshua Fok
0,Justin Nguyen
0,Quinton  Shum
0,Raushan Dhillon
2,Jaren Shen
6,Grayson  Dakis
9,Jordan Macdonald
12,Caleb Chua
23,Ethan Fung
27,Andrew van den Driesen
35,Anantjot Aneja
41,Anthony Lee
46,Colton Chan
b,r,e,a,k
California (B),16
teamInfo,Ursa Minor,"Berkeley, California",,,
0,Aarush Panda
0,Alex Parikh-Briggs
0,Alex Chen
0,Anirudh Iyengar
0,CarterJ Joel
0,Connor Gallagher
0,Connor Fagan
0,Jared Kazhe
0,Jonah Gensler
0,Kyle Kim
0,Matt Ryan
0,Nicolas Stanton
0,Samuel Callahan
0,Yonah Gereboff
5,Diego Jiang
18,Derrick Leong
19,Shankar Ramaswamy
81,Dylan Miller
99,William Tang
b,r,e,a,k
California-Santa Cruz (B),9
teamInfo,Ooze,"Santa Cruz, California",,,
coaches,Justin Cheng
0,Hugo Newton
0,Ian Bakke
0,Jacob Lee
0,Jayden Lee
0,John Balestrini
0,Lincoln Zaltas
0,Malcolm Burns
0,Marcel Gingrich
0,Mithilesh Kowshik
0,Nicholas Macchietto
0,Preston Osypowski
0,Rowan Smith
0,Alex Chen
0,Aryan Dasika
0,Cole Pine
0,Colin Huang
0,Evangel Hightower-Rojas
0,Thai Villaluna
0,Thomas Farmer
0,Tripp Daon
1,Gavin Schiff
13,Tim Doan
36,Ryan Chapman
b,r,e,a,k
California-Davis,8
teamInfo,Davis Dogs,"Davis, California",https://davisdogsultimate.weebly.com/,,https://www.instagram.com/davisdogsultimate/
0,Kaden Brownie
01,Samuel Greenberg
02,Leo Johnson
03,Jacob Ode
05,Liam Ginsberg
07,Tiancheng Sheng
08,Julian Korchin
10,Timo Williamson
11,Brandon Estrada
12,Aaron Li
13,Noah Luksich
14,Hunter Wexler
16,Levi Thomas
17,Leo Grossinger
20,Joseph Ramos-Fortes
21,Jaden Lee
26,Alec White
31,Cole Mentze
36,Michael Gaumond
74,Addison Koehn
76,Jacob Williams
77,Benji Huey
78,Jay Moutoux
80,Diego Ramirez
92,Naveed Jones
b,r,e,a,k
Cal State-Long Beach,17
teamInfo,Pyramid Scheme,"Long Beach, California",https://www.instagram.com/pyramidschemeultimate/,,https://twitter.com/PyramidSchemeLB
0,Adrian Hernandez
0,Colin Davis
0,Elijah  Dixon
0,Jake Saje
0,Owen Adderley
0,Trey Lybrand
3,Miles Harvey
4,Elias Calderon
10,Edward Ayau
17,Nolan Olson
22,Caleb Young
25,Alexander Russell
48,Nicholas Keith
79,Connor Marson
b,r,e,a,k
Claremont,2
teamInfo,Braineaters,"Claremont , California",linktr.ee/brainsult,,
coaches,Austin Baxter
0,Samuel Winkler
01,Josh Marx
02,Ryan Williams
03,Arenaria Cramer
05,Jacques Paradis
07,Elias Gradinger
08,Martín Jimenez-Williams
09,Emmett Levine
13,Silas Brock
16,Leo Furr
20,Luxuan Chang
23,Johnny Russell
24,Luca Davis
27,Charlie Palmer
28,Jamie Miller
30,Isamu Masayoshi Sims
31,Sam Fischer
37,Harold Fuson
45,Sebastian Harvey
57,Mitchell Yam
63,Leo Godsberg
71,Elijah Axt
77,Graham Hynes
77,Jeremy Kaufman
80,Isaiah Curtis
93,Jack Sheehan
99,Jacob Leichter Wilson
b,r,e,a,k
Cal Poly-Humboldt,10
teamInfo,Humboldt Buds,"Arcata, California",https://www.humboldt.edu/campus-recreation/recreational-sports/clubs/mens-ultimate,,
0,Alejandro Estrada
0,Daniel Gibson
0,Gabriel Sekel
05,Joaquin Bartosh
07,Kevin Connelly
10,Antonio Rodriguez-Kovach
11,Milo Tom
13,Matteo Bowman
15,Kristopher Turner
15,Jaden McCarthy
16,Asher Duben
17,Yuval Bochner Loewenberg
20,Timothy Hoang
24,Cameron Fox
26,John Torpey
27,Emmett Gargaro
30,Finn Cavanaugh
33,Connor McGinley
55,Carles Montijano
b,r,e,a,k
Chico State,15
teamInfo,Chico State,"Chico, California",,,
0,Brandon  Garcia Flores
0,Camden Branson
0,Carson Crouch
0,forrest lefebvre
0,Gabriel Drobny
0,Jack Donnell
0,Stephen Kodur
1,Elliott Schwarz
2,Ryan Niizawa
13,Alexander Ballou
13,Colby Downs
23,Ryan Branca
33,Erik Stenstrom
72,Kaleb Paige
75,Garrett Holt
88,Owen Onatanian
b,r,e,a,k
Santa Clara (B),18
teamInfo,SCRATCH,"Santa Clara, California",,,
0,Alexander Von Banck
0,Amer Sangha
0,Daniel Gerregano
0,Eli Filner-Hutchison
0,Gavin OCarroll
0,James Dwyer
0,Johnathon Dickey
0,Luis Zamudio
0,Matteo Maricich
0,Michael Cooper
0,Nick Grace
0,Omar Bazan
0,Owen Duffy
0,Pablo Jonsson
0,Peter Strauss
0,Santino Rafael Diaz
0,Sawyer Gibson
0,Jordan Wong
0,Joshua Colleran
0,Josiah Misk
2,Kieran Greeley
13,Andrew Minocha
27,Jonah Engelmann
31,Will DeGasparis
33,Ambrose Vellequette
69,Lucas Woodman
b,r,e,a,k
Washington (B),7
teamInfo,Washington B,"Seattle, Washington",https://www.instagram.com/undodgers/?hl=en,,https://twitter.com/undodgers
0,Anderson To
0,Anthony Soeung
0,Arni Hoang
0,Asa Norman
0,Case Thissell
0,Charles Craemer
0,Corey Mack
0,Dexter Stevens
0,Ian Tuski
0,Isaac Cardwell
0,Jalen Li
0,Jamie Overbay
0,Jaron Casio
0,Leo Andrade
