HoDown Showdown 2026,Club - Men ,8,8,2026
Asheville,NC,2026-08-08,2026-08-09
https://play.usaultimate.org/events/HoDown-Showdown-2026/schedule/Men/Club-Men/
baNC,1
teamInfo,,"Charlotte, North Carolina",,,
0,Caleb Sizemore
0,Jordan Perry
0,Isaac King
0,Nick Talone
0,Samuel Lee
0,Wesley Dudas
0,Sean Wiles
0,Zachary Clark
0,Sathvik Avulapati
0,Tejas Sivarajakumar
0,Quinn Scott
2,Adam Bubb
3,Benjamin Evashavik
3,Jacob Croskey
8,Ryan Manuel
8,Kallen Busker
11,Zachary Abbott
14,Simon Jenkins
15,David Chalmers
22,Addison Carnow
24,Carter Rathur
29,Mason Cary
45,Rudy Jimenez
51,Damian Delgado
73,Romit Patel
81,Dylan Lipps
b,r,e,a,k
Cash Crop 2,12
teamInfo,,"Chapel Hill, North Carolina",,,
0,Andy Chin
0,Arjun Deshmukh
0,Brian Trowbridge
0,Bryce Jensen
0,Dov Bearman
0,Daniel Zhang
0,Colin Zeng
0,Harrison Berg
0,James Park
0,James Wang
0,Ramzi Musleh
0,Watkins Parker
0,Linwood Ding
0,William Spykerman
1,Andrew Fan
4,Ben Bronstein
25,John Laney
27,Jason Manning
69,Max Goetz
77,Daniel Zhu
b,r,e,a,k
Charleston Heat Stroke,8
teamInfo,,"Charleston, South Carolina",http://charlestonopenulty@gmail.com,https://www.instagram.com/heatstroke_ultimate,
0,Brett Egger
0,Logan Johnston
1,Matt Hardie
3,Adam Bailey
4,Jack Oakman
5,Trevor Kirkland
7,Jett Kirshtein
9,Cannon Yarborough
18,Chai Kirshtein
21,Rhyston Broadhurst
24,Joseph DiPaula
25,Andrew Zavada
29,Will Harris
30,Cole Fritz
35,Nathaniel Bieling
48,Shane Kearney
95,Tyler Myers
96,Matthew Davin
b,r,e,a,k
ElecTriCity,13
teamInfo,,"Johnson City, Tennessee",,,
0,Ben Searcy
0,Asher Williams
0,Reagan McNeill
0,Luke  Blaylock
0,Solomon Jackson
4,Reed Frederick
01,Kohen Kilburn
07,Caleb Batchelder
08,Leonardo Ramos
10,Chris Epps
11,Jarom Bush
13,Artemio Pascual
21,Marcus Patton
26,Alexander Simmons
40,Skyler Swafford
66,Benjamin Robinson
99,Elijah Bragg
b,r,e,a,k
NC Brickhouse,17
teamInfo,,"Raleigh, North Carolina",,,
0,Alex Fischer
0,Daniel West
0,Aubrey Clark-Brown
0,Ben Campion
0,Ethan Dadolf
0,Ian O'Fallon
0,Isaac Castiglione
0,Dorn Fitch
0,Eric Zheng
0,Gibson Hagman
0,Sassan Fahim
0,Nirvan Bernstein
0,Marcus Needham
0,Jacob Pullman
0,Jovan Sanford
0,Mustafa Hamed
0,Joseph Laliberte
0,Neil Calimlim-Khot
8,Rhett Stevens
9,Alan Mankowski
10,Nathan Khot
22,John Bradley
24,Drew Grinnell
30,Asher Wallen
88,Henry Goller
b,r,e,a,k
Florida Flo,24
teamInfo,,"Ocala, Florida",https://www.instagram.com/flo_ultimate/,,
0,Aidan Earnest
0,Dheeraj Pedada
0,Evan Baker
0,Isaac Stuart
0,Ryan Kawa
1,Sebastian Keltz
