TCT Select Flight Invite - East 2022,Club - Men ,23,7,2022
Fredericksburg,VA,2022-07-23,2022-07-24
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---East-2022/schedule/Men/Club-Men/
Vault,1
teamInfo,,"Fredericksburg, Virginia",,,https://twitter.com/vaultultimate
coaches,Thomas Owen,Joe Dweck
0,Jarrod Banks
01,Max Cassell
03,Brandon Lamberty
05,John Walden
06,Dane Warner
07,Steven Wartinbee
08,Kristopher Harrison
10,Matthew Neeley
11,Peter Mancini
13,Kees Humes
14,Lloyd Blake
15,Garrett Braun
18,Kevin Healey
21,Jack Field
23,Matthew Beaudet
24,Tim Jackson
27,Austin Bartenstein
30,Cam Barnhardt
31,Kevin O'Malley
32,Alex Turney
37,Miles Grovic
76,Matt McGoogan
78,Leo Pierson
84,Daniel Friedman-Brown
89,Sean Phippen
99,Adam Weiss
b,r,e,a,k
Raleigh-Durham United,5
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/rduultimate/,,https://twitter.com/rduultimate
01,Kirkwood Alex Cloud
02,Xander Wilcox
04,Houston Parks
07,Tobias Brooks
08,Cameron Guidry
10,Jacob Louie
11,Wilson Matthews
14,John Kost
19,Ethan Bolthouse
20,Jared  Anderson
21,Danny Wilson-Simpson
23,Angelo Olcese
25,Harrison Karlok
27,Caleb Louie
32,Albert Yuan
35,Myles Grady
37,Lucas Meade
43,Jake Rovner
44,Dillon Bruer
52,Kamron Daftari
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
87,Benj Thomsen
b,r,e,a,k
Blueprint,16
teamInfo,,"Brooklyn, New York",,,https://twitter.com/nyc_blueprint
 ,Evan Ma
 ,Joseph Copeland
 ,Kaden Han
 ,Sam Alston
 ,Samuel Lee
 ,Talor Gruenwald
 ,Walter Roosa
0,Samuel Ross
0,Samuel Pollack
0,Leo Xiao
0,Leo Jordan
0,Max Cohen
0,Owen Marschall
0,Patrick Stegemoeller
0,Ruozhou Ye
0,Josh Imhoff
0,Julian Quintero Rodriguez
0,Andrew Edelman
0,Carter Wang
0,Garrett Wibbelsman
0,Gary Delia
0,Ian McInerney
0,James  O'Connell
0,Jesse Gan
0,John Kern
0,Jordan Richmond
b,r,e,a,k
Haymaker,12
teamInfo,,"Chicago, Illinois",,,https://twitter.com/makesomehay
0,Fischer Dastrup
0,Frank Ontaneda
0,Grant Harris
0,Hunter Latson
0,Ian Falck
0,Isaac Degenhart
0,James Karl
0,Jeron Dastrup
0,Joseph Sifakis
0,Kyle Bayes
0,Benjamin Putano
0,Brian Murphy
0,Ryan Morris
0,Simon Perez
0,Solomon Podorovsky
0,Thomas Alford
11,Christopher Asta
21,Patrick Kelly
24,Andrew Fischer
44,Robert Dreier
69,Filip Wilk
82,Stewart Zondlak
b,r,e,a,k
Mad Men,2
teamInfo,,"Madison, Wisconsin",https://sites.google.com/view/madmenultimate,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
0,Branavan Yogarajah
03,Jake Carrico
09,Kyle Dreger
10,Will Casperson
11,David Nester
12,Sam Hebert
13,Jordan Benson
13,Alex Liu
14,Kai DeLorenzo
15,Sam Stark
16,Matt Tucker
22,Liam McDonald
23,Sef van Kan
27,Shane Otis 
29,Jack Nelson
34,Colin Sunde
41,Jacob Schlaefer
66,Anthony Gutowsky
71,Dylan Power
74,Luke Marks
77,Jack Walters-Medaris
91,Austin Johnson
99,Eric Blais
b,r,e,a,k
Phoenix,11
teamInfo,,"Ottawa, ON, Ontario CA",modules/common/ottawaopenultimate%20AT%20gmail%20DOT%20com,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
0,Dante LaFontaine
0,David Colic
0,Desmond Staples
0,Erich Phang-Lyn
0,Ian Wallace
0,Kayle Campbell
0,Khirode Robertson
0,Marcus Bordage
0,Maxime Ayad
0,Noah Bailey
0,Patrick Mapp
0,Ryan Wallace
0,Simon Walker
0,Will Dickson
0,Braedan Robinson
0,Cameron Kennedy
0,Carson Turner
33,Christopher Lay
b,r,e,a,k
Redwolves,15
teamInfo,,"Bethesda, Maryland",https://anwwhs08.wixsite.com/bethesdawatchdogsult,https://www.facebook.com/Watchdogs-Ultimate-250140035159441/,
coaches,Andrew Nguyen
 ,Austin Alvarado
 ,Benjamin Greenberg
 ,Bradford Patterson
 ,Caelan McSweeney
 ,Charles Baird
 ,Jacky Chung
 ,Jason Hawkins
 ,Joel Brown
 ,Joel Maiman
 ,Aaron Rosenthal
 ,Andrew Sington
 ,Matt Thomas
 ,Noah Gross
 ,Sean Walsh
 ,Xavier Schafer
0,Matthew Thornton
0,Munir Ben Jemaa
0,Andrew Allen
0,Kyle Morgan
0,Christopher King
0,Eric Yoon
0,Gregory Cho
0,Hyosam Jeon
0,Isaac Lee
b,r,e,a,k
Shade,6
teamInfo,,"New York, New York",,https://www.facebook.com/shadeulti/,https://www.twitter.com/shadeulti
 ,Calvin Vannoy
 ,J. Zachary Saffa
 ,Ryan Saffa
0,Johnny Frohlichstein
0,Kaizen Conroy
0,Luka Govedic
0,Matthew Mclaughlin
0,Michael Sender
0,Nick Maida
0,Jacob Coonin
0,James Pardo
0,Alan Henzy
0,Alex Ornik
0,Alexander Isik
0,Andrew Rodman
0,Aron Szanto
0,Bo  Lu
0,Charlie Holtz
0,Chris Nelson
0,Dean Acheson
0,Elias Griffin
0,Eric Tagliaferre
0,Eric Moore
0,Harper Stanfield
13,Jay Sehgal
b,r,e,a,k
Tanasi,3
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
 ,Alex Stevenson
 ,Brian Newsom
 ,Jacob Lipford
 ,James Russnogle
 ,Jeremiah Branson
 ,Neil Place
 ,Zack Avello
0,Neil Taylor
0,Samuel Good
0,Matt Matheny
0,Jeffrey Flanagan
0,Jacob Flowers
0,Daniel Robinson
10,Jared Beazley
11,Ethan Baughman
12,Bryan Sansbury
16,Colin Flowers
18,Yanni Killebrew
19,James  Poe
21,Carson Chamberlain
22,Ridge Carter
24,Fletcher Hare
25,Andrew Geisel
32,Nicholas Amendolare
64,Bryan Sandidge
97,Vasili Doan
b,r,e,a,k
Trident I,7
teamInfo,,"Lombard, Illinois",,,https://twitter.com/tridentulti
0,Alex Straczek
0,Brian Rathunde
0,Cal Tornabene
0,Daniel Miller
0,Daniel Vockeroth
0,Girolamo S Kelly
0,Jacob  Cuthbert
0,Joe Cercello
0,Josh Deeman
0,Joshuah Kapilivsky
0,Justin Forman
0,Milan Rivas
0,Nathan Kinsinger
0,Nicholas Golini
0,Reid Martin
0,Reno Brinn
0,Ricky Ramirez
0,Samuel Tagle
0,Scott Klein
0,Tanner Graham
0,Trevor Scott
0,Tyler Barrett
0,Will Frolich
b,r,e,a,k
Phantom,10
teamInfo,,"Philadelphia , Pennsylvania",,https://www.facebook.com/phillyphantom,https://twitter.com/PhillyPhantomU
