Queen City Tune Up,College - Women ,12,2,2022
Charlotte,NC,2022-02-12,2022-02-13
https://play.usaultimate.org/events/Queen-City-Tune-Up-2022/schedule/Women/CollegeWomen/
North Carolina,1
teamInfo,Pleiades,"Chapel Hill, North Carolina",http://www.uncpleiades.com,https://www.facebook.com/unc.pleiades/,https://twitter.com/UNC_Pleiades/
coaches,Jessica Jones,Allan Laviolette,Elisabeth Parker
00,Dhara Buebel
00,Ella Juengst
00,Emily Przykucki
00,Erica Birdsong
00,Eugenia Chow
00,Grace Conerly
00,Isabel Myers-Miller
00,Jessica Wu
00,Kailyn Lowder
00,Alana Holder
00,Alexandra Evans
00,Allison Reilly
00,Caroline Spencer
00,Milena Jojic
00,Sarah Combs
00,Selena Kleber
00,Sydney Rehder
00,Taylor Lewis
00,Theresa Yu
06,Claudia Dare
11,Dawn Culton
22,Anne Worth
25,Rachel Yao
28,Maya Powell
34,Alexandra Barnett
b,r,e,a,k
Brigham Young,17
teamInfo,CHI,"Provo, Utah",,,
coaches,Kendra  Mitchell
 ,Kate Moulton
0,Alena Niehaus
0,Alice Lundgren
0,Amanda Wilson
0,Daisy Amelang
0,Eliza Hales
0,Eliza Adams
0,Eve McCulloch
0,Hannah Hunter
0,Kate Barry
0,Livvy Hiatt
0,Madison Robinson
0,Stacey Clark
15,Sailor Ong
20,Allison  Correa
25,Madeline Paskett
30,Lauren  Hall
45,Sylvia Brown
b,r,e,a,k
Ohio,8
teamInfo,Stacked Cats,"Athens, Ohio",https://sites.google.com/site/stackedou/home%20,,https://twitter.com/StackedOU
0,Abby Hutzel
0,Allyson Perkins
0,April Dale
0,Ashleigh Harrison
0,Caldwell Armstrong
0,Delaney Marsalek
0,Elise Breen
0,Grace Dwyer
0,Jenny Simons
0,Kamryn Waites
0,Kelly Simons
0,Kristen Caudill
0,Lily Biros
0,Lily Johns
0,Mary Peters
0,Rachel Hasseltine
0,Rebecca Scholl
0,Sabrina  Day 
0,Samantha  Gast
b,r,e,a,k
Michigan,9
teamInfo,Flywheel,"Ann Arbor, Michigan",http://www.flywheelultimate.com,,https://www.twitter.com/UMichFlywheel
 ,Sarah Jordak
00,Sophia Harvey
00,Wen Chi Kwok
00,Rebecca Zhang
00,Abby Guimond
00,Anna Ceballos
00,Audrey McManus
00,Bria Stocker
00,Caroline Faris
00,Catherine Hildebrand
00,Julia Kahn
03,Claire Blazewicz
09,Emily Evans
12,Emma Scznsny
13,Celia Flory
14,Jade Turner
15,Miranda Baltaxe
18,Hanna Schechter
20,Madison Nightingale
22,Charlotte Andreasen
30,Reegan Ketzenberger
36,Naomi Kantor
77,Katrina McGuire
b,r,e,a,k
Columbia,16
teamInfo,Curbside,"New York , New York",,,www.twitter.com/cultimatewomen
0,Erin McNulty
0,Ji Yoon Sim
0,Julia Simmons
0,Liana  Eisler
0,Lili Boenigk
0,Maia Donald
0,Sally Hirschwerk
0,Sophie Sharp
0,Tien Lardner
0,Valerie Hsieh
0,Andie Tappenden
0,Annabelle Wechsler
0,Aviva Weinbaum
0,Beatrice Ibes-Nedeljkovic
66,Elizabeth Thomas
b,r,e,a,k
Appalachian State,7
teamInfo,Nonads,"Boone, North Carolina",,,
0,Grace Deibert
0,Grace  Shires 
0,Gracie Gardner
0,Joy Green
0,Ashlynn Klotz
0,Rebekah Nielsen
0,Sophie Manning
0,Victoria Cool
33,Abigail Barry
36,Zoe DeBenedette
69,Margaret Lester-Niles
83,Margaret Barry
91,Charis Barry
b,r,e,a,k
Pittsburgh,2
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://danger-ultimate.wixsite.com/pittultimatew,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerultimate
coaches,Lauren Boyle,Erica Baken
02,Jessie Sun
03,Madeline Franz
05,Ayuna Uemura
06,Celeste Picone
07,Lily Nong
08,Yunge Xiao
09,Annelise Peters
10,Helen Wu
12,Madison Pisone
13,Meghan McGrory
15,Katya Piskun
16,Jessie Chan
17,Kimaya Hayes
19,Belinda Lam
21,Elizabeth Manturuk
22,Ariana Bhatia
23,Hannah Boyd
26,Rachel Dzieminski
27,Leah Fandel
33,Caroline  Burns
36,Paige Dillon
38,Celina Zhao
39,Daisy Mandl
42,Stephanie Le
47,Sophia Kosowsky
48,Yara El-Khatib
57,Charlotte (CJ) Dawson
70,Morgan Cioth
71,Miranda Kosowsky
b,r,e,a,k
North Carolina State,15
teamInfo,Jaga Monsta,"Raleigh, North Carolina",,https://www.facebook.com/pages/J%C3%A4ga-NCSU-Womens-Ultimate/153552627991990,https://twitter.com/NCSUJagaMonsta
 ,Anna Tortorici
 ,Sophie Blankenship
0,Rithika Vatchavai
0,Sara Allen
0,Sarah McKee
0,Ayushi Verma
0,Blaire Garrett
0,Danielle Huston
0,Ellie McNamee
0,Genevieve Gauthier
0,Grace Xiang
0,Jennifer Wang
0,Abby Dunn
0,Abigail McManus
0,Allison Church
0,Amy Deepee
0,Mary Clarke Worthington
0,Melissa Gronske
0,Michelle Chen
10,Reagan McGuinn
13,Mara Fischer
b,r,e,a,k
Ohio State,10
teamInfo,Fever,"Columbus, Ohio",http://feverultimate.org.ohio-state.edu/,modules/common/www.facebook.com/OSUFever,https://twitter.com/FeverUltimate
0,Annie DiClemente
0,Annie Dolan
0,Arden Piepho
0,Ashley Boehmke
0,Bailey Perkins
0,Emily Marmer
0,Graham Cunningham
0,Hannah Grace Morrison
0,Lauren Klein
0,Madoka Kamishima
0,Milo Eder
0,Priyanka Tewani
0,Rachel Cox
0,Sabrina Kelley
0,Samantha Schaaf
0,Sky Anderson
0,Spencer Law
0,Zoe Wolfe
0,Abby Thompson
0,Alex Motsinger
0,Anna Goulson
25,Anne Knellinger
b,r,e,a,k
Vermont,3
teamInfo,Ruckus,"Burlington , Vermont",,https://www.facebook.com/UVMRuckus/,https://twitter.com/ruckusultimate
coaches,Sara Jacobi,Daron Byerly
00,Emily Pozzy
00,Rachel Oram-Brown
00,Sarah Van Horn
05,Mikaela Luke-Currier
14,Charlotte Laseter
16,Sophia Nolan
17,Riley Knupp
18,Allison Huresky
19,Marina Godley-Fisher
20,Maya Fein-Cole
21,Alexandra Greer
22,Reilly Wells
23,Emily Wanzer
24,Maya Lurie
26,Nadia Scoppettone
33,Sophie Acker
36,Lucia McCallum
44,Sarah VonDoepp
47,Izzy Pitman
77,Kennedy McCarthy
b,r,e,a,k
Georgia,6
teamInfo,Athena,"Athens, Georgia",,https://www.facebook.com/UniversityOfGeorgiaWomensUltimate/,https://twitter.com/UGAUltimate
 ,Elle Mayer
 ,Marie Perivier
 ,Martha Wilber
 ,Fiona Cashin
0,Gracelyn Bayliss
0,Jane Brock
0,Jasmine  Harris
0,Eva Ross
0,Mia Tomay Bongcaron
0,Michelle Tzou
0,Molly Schneider
0,Paige Robinson
0,Sarah  Povie
0,Susannah Parker
0,Val Vidali
0,Zeniyah Bhojani
0,Briana Li
0,Elizabeth Hammock
0,Alysa Miles
0,Anna Gustafson
0,Ashley Looi
13,Emma Jones
20,Ariba Lakhani
23,Bailey Lawson
42,Julia Terrell
b,r,e,a,k
William & Mary,14
teamInfo,Cypress,"Williamsburg, Virginia",,,https://twitter.com/WMultimateW
0,Abby Minecci
0,Ann Vonasek
0,Catherine Grossman
0,Isabella DiFulvio
0,Isabella Casey
0,Karen Minecci
0,Kate Burns
0,Katherine Marston
0,Katherine O'Neill
0,Kelsi Putnam
0,Kendall Barton
0,Kirsten Knisely
0,Ryleigh  Tibbetts
0,Sabra Ellison
0,Sofia Geislinger
b,r,e,a,k
Notre Dame,11
teamInfo,Echo,"Notre Dame, Indiana",http://ndultimate.wordpress.com/,,https://twitter.com/ndultimate
0,Anna Wagner
0,Anna Heger
0,Annie Holden
0,Aoife Scannell
0,Beth Messaglia
0,Carolina Bolivar
0,Claire Hackl
0,Elena Dansdill
0,Elise Fahrenbach
0,Elizabeth Erisman
0,Erin Goldman
0,Jess Joyce
0,Lauren Bock
0,Macie Anundson
0,Maddie Galvin
0,Monica Caponigro
0,Nalani Malackowski
0,Pailyn Groene
0,Stephanie Heger
b,r,e,a,k
Tufts,5
teamInfo,Elephant Women),"Somerville, Massachusetts",http://sites.tufts.edu/tuftsewo/,https://www.facebook.com/tuftsewo/,https://twitter.com/ewonews
coaches,Meriden Estes
0,Ariel Felcan
0,Cameron Rusin
0,Carolynn Brooks
0,Dorothy DiMascio-Donohue
0,Elizabeth Kowalski
0,Emily Kemp
0,Hazel Ostrowski
0,Isabella Lombino
0,Julia Lober
0,Katherine Lew
0,Leija Helling
0,Lia Yamamoto Schwartz
0,Margaret Pendleton
0,Megan Lam
0,Megan Mathieu
0,Olivia Goss
0,Rachael Johnson
0,Rachel Levitt
0,Ryanne Barrett
0,Sofia Grose
0,Sophie Hankin
b,r,e,a,k
Virginia,4
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
0,Abby Herrod
0,Annabel Tripodi
0,Aubrey Leaser
0,Aviva Kosto
0,Aydan Moskowitz
0,Birgitta Taylor-Lillquist
0,Breanna  Donahue
0,Bridget Williams
0,Bryn Kabiri
0,Carolina Otal
0,Elena Lensink
0,Emily Huber
0,Emma  Vorathiankul
0,Emma Glass
0,Jane Frankel
0,Kate MacArthur
0,Kira Flores
0,Leila Troxell
0,Maya Nir
0,Maya Neal
0,Nora Wagner
0,Paulina (Syd) Kirk
0,Rachel Lisner
0,Richella Tah
0,Stephanie Skahen
0,Sydney Rohrbach
b,r,e,a,k
Florida,13
teamInfo,FUEL,"Gainesville, Florida",http://gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
 ,Ashley Collins
 ,Ava DuBose
 ,CeCe Collinson
 ,Hannah Amaya
 ,Kathryn Chase
0,Milani Denise Saldon
0,Natalie Laywell
0,Omie Coyne
0,Adriana Kanarek
0,Alex Richardson
0,Anatolia Legaspi
11,Kaylen Chiang
12,Natalie Baumgarten
17,Faith Gonzalez
18,Julia Kirkendall
24,Mariska Ursel
25,Roxane Van Horn
86,Tori Dew
b,r,e,a,k
Case Western Reserve,12
teamInfo,Fighting Gobies,"Cleveland, Ohio",modules/common/ultimate.case.edu,https://www.facebook.com/GobyWarriors/,https://twitter.com/FightingGobiesW
 ,Hannah Chang
 ,Makena Ray
 ,Wonyoung Choi
0,Selena Liu
0,Tiana Anthony
0,Hannah Olivares
0,Katie Moore
0,Abigail Morse
0,Amy Tang
0,Audrey Kwun
24,Adina Minkin
28,Lisha Chen
65,Greer Donnalley
73,Kayleigh  Risser
78,Sophia Vaccaro
b,r,e,a,k
s,t,a,g,e,s
pools,QCTU 2022 Womens Pool Play
pool,Pool A
North Carolina,Brigham Young,11,5,"02/12/2022, 09:00",Pool A,Final
Michigan,Columbia,8,7,"02/12/2022, 09:00",Pool A,Final
North Carolina,Michigan,11,4,"02/12/2022, 10:30",Pool A,Final
Ohio,Columbia,10,5,"02/12/2022, 10:30",Pool A,Final
Columbia,Brigham Young,5,11,"02/12/2022, 12:00",Pool A,Final
Ohio,Michigan,8,7,"02/12/2022, 12:00",Pool A,Final
North Carolina,Columbia,12,3,"02/12/2022, 13:30",Pool A,Final
Ohio,Brigham Young,8,13,"02/12/2022, 13:30",Pool A,Final
North Carolina,Ohio,13,1,"02/12/2022, 15:00",Pool A,Final
Michigan,Brigham Young,8,13,"02/12/2022, 15:00",Pool A,Final
pool,Pool B
Pittsburgh,Ohio State,13,5,"02/12/2022, 09:00",Pool B,Final
Appalachian State,North Carolina State,13,1,"02/12/2022, 09:00",Pool B,Final
Pittsburgh,North Carolina State,10,4,"02/12/2022, 10:30",Pool B,Final
Appalachian State,Ohio State,11,6,"02/12/2022, 10:30",Pool B,Final
Pittsburgh,Appalachian State,6,11,"02/12/2022, 12:00",Pool B,Final
Ohio State,North Carolina State,6,9,"02/12/2022, 12:00",Pool B,Final
pool,Pool C
Vermont,Notre Dame,11,8,"02/12/2022, 09:00",Pool C,Final
Georgia,William & Mary,8,7,"02/12/2022, 09:00",Pool C,Final
Vermont,William & Mary,9,4,"02/12/2022, 10:30",Pool C,Final
Georgia,Notre Dame,10,3,"02/12/2022, 10:30",Pool C,Final
Vermont,Georgia,11,4,"02/12/2022, 12:00",Pool C,Final
Notre Dame,William & Mary,3,10,"02/12/2022, 12:00",Pool C,Final
pool,Pool D
Virginia,Case Western Reserve,10,6,"02/12/2022, 09:00",Pool D,Final
Tufts,Florida,13,0,"02/12/2022, 09:00",Pool D,Final
Virginia,Florida,8,2,"02/12/2022, 10:30",Pool D,Final
Tufts,Case Western Reserve,13,0,"02/12/2022, 10:30",Pool D,Final
Virginia,Tufts,4,13,"02/12/2022, 13:30",Pool D,Final
Case Western Reserve,Florida,7,10,"02/12/2022, 13:30",Pool D,Final
b,r,e,a,k
brackets,QCTU 2022 Womens Bracket Play
bracket,Championship Bracket
North Carolina,Vermont,12,8,"02/13/2022, 13:00",Finals,Final
North Carolina,Tufts,11,8,"02/13/2022, 11:20",Semi Finals ,Final
Pittsburgh,Vermont,6,13,"02/13/2022, 11:20",Semi Finals ,Final
North Carolina,North Carolina State,14,2,"02/13/2022, 09:40",Quarter Finals,Final
Tufts,Ohio State,14,2,"02/13/2022, 09:40",Quarter Finals,Final
Vermont,Michigan,12,3,"02/13/2022, 09:40",Quarter Finals,Final
Pittsburgh,Florida,9,7,"02/13/2022, 09:40",Quarter Finals,Final
North Carolina State,William & Mary,10,9,"02/13/2022, 08:00",Pre Quarters,Final
Georgia,Ohio State,6,9,"02/13/2022, 08:00",Pre Quarters,Final
Virginia,Michigan,6,9,"02/13/2022, 08:00",Pre Quarters,Final
Ohio,Florida,4,11,"02/13/2022, 08:00",Pre Quarters,Final
bracket,3rd Place Bracket
Tufts,Pittsburgh,13,6,"02/13/2022, 13:00",3rd Place Final,Final
bracket,5th Place Bracket
Ohio State,Michigan,11,8,"02/13/2022, 13:00",5th Place Final,Final
North Carolina State,Ohio State,9,10,"02/13/2022, 11:20",5th Place Semi,Final
Florida,Michigan,7,8,"02/13/2022, 11:20",5th Place Semi,Final
bracket,7th Place Bracket
North Carolina State,Florida,8,5,"02/13/2022, 13:00",7th Place Final,Final
bracket,9th Place Bracket
Georgia,Ohio,13,10,"02/13/2022, 13:00",9th Place Final,Final
Case Western Reserve,Georgia,6,13,"02/13/2022, 11:20",9th Place Semi,Final
Ohio,Virginia,10,6,"02/13/2022, 11:20",9th Place Semi,Final
William & Mary,Case Western Reserve,6,9,"02/13/2022, 09:40",9th Place Quarters,Final
Georgia,Columbia,10,9,"02/13/2022, 09:40",9th Place Quarters,Final
Ohio,Notre Dame,14,5,"02/13/2022, 09:40",9th Place Quarters,Final
bracket,11th Place Bracket
Case Western Reserve,Virginia,2,6,"02/13/2022, 13:00",11th Place Final,Final
b,r,e,a,k
clusters,Round Robin 
cluster,Round Robin Games
Case Western Reserve,Notre Dame,7,10,"02/13/2022, 08:00",,Final
William & Mary,Columbia,6,2,"02/13/2022, 11:50",,Final
Notre Dame,Columbia,4,8,"02/13/2022, 13:30",,Final
b,r,e,a,k
