2022 North Central Men's Regional Championship,Club - Men ,24,9,2022
Hartland,WI,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-North-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
Mad Men,1
teamInfo,,"Madison, Wisconsin",https://sites.google.com/view/madmenultimate,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
0,Branavan Yogarajah
03,Jake Carrico
05,Joseph Nelson
09,Kyle Dreger
10,Will Casperson
11,David Nester
12,Sam Hebert
13,Shane Otis 
13,Jordan Benson
14,Kai DeLorenzo
14,Alex Liu
15,Sam Stark
16,Matt Tucker
22,Liam McDonald
29,Jack Nelson
33,Peter Miller
34,Colin Sunde
41,Jacob Schlaefer
42,Maddox Hill
49,John Tan
66,Anthony Gutowsky
71,Dylan Power
74,Luke Marks
77,Jack Walters-Medaris
91,Austin Johnson
99,Eric Blais
b,r,e,a,k
Scythe,8
teamInfo,,"Omaha, Nebraska",http://www.bonehorn.com,https://www.facebook.com/scytheultimate/?ref=aymt_homepage_panel&eid=ARBvN0gED3WPXSN3wd5-QYuW_bTwDmgrDEb19ZeuZ2OAuYE13vdyfwSQASticEyPyGjIcpYB9Q0sfBVB,@ScytheUltimate
 ,Daniel Forsyth
 ,Grant Maynard
 ,Joseph Blecha
 ,Sean Rock
 ,Tyler Roberts
0,William Schmitt
0,Travis Pratt
0,Tristan Kelly
0,Nich Rush
0,Gavin Helligso
0,Isaiah  Moore
0,Derek Vallis
0,Cayle Jones
0,Chas Busch
0,Aaron Bowles
13,Ben Melcher
14,Michael Kovash
19,Stewart Buckley
20,Josh Kryzer
24,Thomas Sitorius
26,David Forsyth
34,Joshua Adams
44,Timothy Hoarty
51,Dominic Vavala
62,Blake Krapfl
70,Bryce Confer-Wood
b,r,e,a,k
Nomads,13
teamInfo,,"Sioux Falls, South Dakota",,,
 ,Daniel Stork
0,Grant Dunbar
0,Ira (Field) Mitchell VI
0,Jacob Whempner
0,Joe Lincoln
0,Kyle Orians
0,Kyle Murphy
0,Matthew Georgesen
0,Michael Schwaderer
0,Owen Schweitzer
0,Reese Johnson
0,Samuel Whempner
0,Seth Harris
0,Thomas Simon
0,Tye Klinnert
0,Aaron Bauer
0,Anthony Lesnar
0,Austin Heckel
0,Blake Hagberg
0,Brayden Johnson
0,Cameron Carney
0,Carter Hodkinson
0,Connor Hodkinson
0,Daniel Cabrera
b,r,e,a,k
MKE,12
teamInfo,,"Milwaukee, Wisconsin",modules/common/mkeultimateclub@gmail.com,https://www.facebook.com/MKEUltimate/,https://twitter.com/MKE_ultimate
 ,Alex Martinich
 ,Elliot Shager
 ,Elliott Blackburn
 ,Eric Koo
 ,Francis Nuguid
 ,Jason Moens
 ,Damon Woodward
 ,Nicholas Becker
 ,Patrick Guarasci
 ,Reid Lancaster
 ,Ryan Waller
0,Stephen Becker
0,Steven Wagner
0,Zach Thompson
0,Peter Kuenzle
0,David Castillo
0,Elias Magallanes Jr.
0,Jordan Liff
0,Joseph Branca
0,Kyle Gasiorowicz
0,Jack Drolen
0,Jackson McCausland
0,Blair Weber
0,Brian Benge
0,Bryan Geenen
b,r,e,a,k
Sub Zero,2
teamInfo,,"Minneapolis, Minnesota",http://www.subzeroultimate.com/,https://www.facebook.com/Sub-Zero-Ultimate-105463586149513/,https://twitter.com/SubZeroUltimate
coaches,Raj Maitra
 ,Connor Anderson
 ,Edwin Driver
 ,Noah Hanson
 ,Sebastian Brauer
 ,Tyler Thomegreene
 ,Will Brandt
0,Brandon Macho
10,Anthony Poletto
12,Gordon Larson
14,Gregory Cousins
15,Kristian Johnson
17,Ian Hahn
19,Jace Dean
20,Blake Trantina
23,Paul Krenik
24,Anthony Jirele
31,Luke Bleers
32,Saurav Dubey
33,Colin Berry
