Boston Invite 2022 ,Club - Men ,16,7,2022
Devens,MA,2022-07-16,2022-07-17
https://play.usaultimate.org/events/Boston-Invite-2022/schedule/Men/Club-Men/
DiG,1
teamInfo,,"Boston, Massachusetts",https://instagram.com/digultimate/,https://www.facebook.com/digultimate,https://twitter.com/digultimate
coaches,Samuel Lehman,James Smart
00,Matthew Yee
03,Gabriel Colton
04,Turner Allen
05,Noah Backer
06,Cole Moore
08,Nick Patel
09,Simon Carapella
10,Tyler Chan
11,Peter Boerth
12,Ryan Dinger
13,Brendan McCann
14,Ben Field
15,Peter Kotz
16,Anders Olsen
18,Arturo Laffi
19,Jac Carreiro
22,Cole Davis-Brand
26,Nathaniel Dick
27,Orion Cable
28,Ethan Fortin
34,Gustav Haflin
47,Leo Gordon
65,Topher Davis
85,Josh Markette
88,Charles Weinberg
b,r,e,a,k
TireBizFriz,8
teamInfo,,"Amherst, Massachusetts",,,
 ,Carl Crawford
0,Chase Drinkwater
0,Christopher Kiepert
0,Declan Kervick
0,Gabriele Kautz
0,Jack Rice
0,Jae Lee
0,Moses Delane
0,Nico Christakos
0,Owen Young
0,Parker Lin-Butler
0,Sam Green
0,Anders Shenholm
0,Andrew Zhu
22,Zachary Watson-Stevens
b,r,e,a,k
Needham Squad,5
teamInfo,,"Needham, Massachusetts",,,https://twitter.com/Squad_Ult
 ,Matthew Barnes
 ,Walker Mayerchak
0,Matthew Johnson
0,Patrick Leach
0,Paul Savarskyy
0,Richard Schaffer
0,Scott Dollen
0,Tianzhe Wang
0,Alec Jacobson
0,Ari Carp
0,Brandon Henshaw
0,Brendan Chin
0,Brian Walsh
0,Carl Saba
0,Christopher White
0,Collier Cobb
0,Henry Laseter
0,Jacob Arons
0,Jeremy Marcus
0,John Herman
0,Jordan Kaufman
27,Bryan Rothenberg
44,Brian Clarkson
80,Joseph Kane
b,r,e,a,k
Red Tide,9
teamInfo,,"Portland, Maine",https://maineultimate.org/p/red-tide?fbclid=IwAR0bDNru2gankJXHGP3ETZUI78rng5ue4-aPUdGmhDgjlY6sqcg5lmuNHkg,https://www.facebook.com/RedTideUltimate,
0,Aidan Hayes
0,Alberto Morales
0,Bailey Kirwin
0,Ben Fasciano
0,Benjamin Scharadin
0,Benjamin Payson
0,Boden Iris
0,Cameron Jack
0,Charlie Hepburn
0,Daniel Bronshvayg
0,Davis Ritger
0,Elijah Babcock
0,Henry Babcock
0,Homer LaBranche
0,James Arcata
0,James Flynn
0,John Malcom
0,John Sands
0,Justin Strout
0,Matthew Wilbanks
0,Matthew Toothaker
0,Max Massey
0,Patrick Kelsey
0,Stewart Kelley
0,Toby Jacobs
0,Tucker Livingston
b,r,e,a,k
Iditarod,4
teamInfo,,"Mission Hill, Massachusetts",,,
0,Andrew Nee
0,Avery Houston
0,Ben Chamis
0,Brendan King
0,Cameron Park
0,Chris Yang
0,Dallon Archibald
0,Ethan Pusch
0,Jackson McGuinness
0,Gabe Vordick
0,Liam Henry
0,Mark Kharakh
0,Matias Ng
0,Nelson Barnes
0,Noah Kurland
0,Owen Cordes
0,Sean Wallace
0,Thomas Griffin
0,Timothy Bobrowski
0,Winston Ge
b,r,e,a,k
Big Wrench,2
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
coaches,Danny Clark,Lizzie Jones
69,Alexander Roche
69,Alexander Riahi
69,Andrew Zaccardi
69,August Williams
69,Ben Krupp
69,Benjamin Jafek
69,Brian Wyer
69,Conor McManamy
69,Eli Standard
69,Elias Benghiat
69,Eric Shaw
69,Gene Buonaccorsi
69,Ilya Yudkovich
69,Jack Facey
69,Jacob Marsh
69,John Wellers
69,Matt Sehgal
69,Noah Weintraub
69,Phillip Joyce
69,Pierre Fabris
69,Reed Browning
69,Walden Ng
96,Aaron Saylor
96,Samuel Letcher
96,Nick Jewell
b,r,e,a,k
Lantern,6
teamInfo,,"Boston, Massachusetts",,,
 ,Nathan Brown
0,Russell Katz
0,Ryan Santos
0,Sung-Jae Park
0,Tanner  Asaro II
0,Adam Rogers
0,AJ Hutchins
0,Alexander Fick
0,Brendan Blaney
0,Cody Karjadi
0,Daniel Benson
0,Derek Wiseman
0,Dylan Baroody
0,Eric Peters
0,Griffin Smith
0,Igor Smola
0,John Repucci
0,John Buchanan
0,John-Paul Saggal
0,Joshua Remington
0,Matt Kolk
0,Matt Rizzo
0,Matthew LePere
0,Max Dyer
0,Michael Carando
0,Morgann Thain
b,r,e,a,k
BAG,7
teamInfo,,"Medford, Massachusetts",,,
 ,Cory McCormack
 ,Jonas von Milczewski
 ,Kevin Wang
00,Leo Narbonne
00,Matthew Orr
00,Matthew Shapiro
00,Julian Baxandall
00,Colin Mclaughlin
00,Dustin Thai
00,Ethan Cardi
00,Evan Hu
00,Henry Caron
00,Jesse Levisohn
00,Andrew  Polcari 
00,Calvin Wardle
00,Roman Short
00,Sam Farnsworth
00,Samson Bienstock
00,William Burke
00,William Campbell
06,Asa Thomson
08,Christopher Richmond
18,Noam Gumerman
81,Adam Dahlquist
b,r,e,a,k
MKE,3
teamInfo,,"Milwaukee, Wisconsin",modules/common/mkeultimateclub@gmail.com,https://www.facebook.com/MKEUltimate/,https://twitter.com/MKE_ultimate
 ,Alex Martinich
 ,Connor Wozniak
 ,Elliott Blackburn
 ,Francis Nuguid
 ,Nathan Williams
 ,Nicholas Becker
 ,Patrick Guarasci
 ,Reid Lancaster
 ,Ryan Waller
0,Steven Wagner
0,Zach Thompson
0,Peter Kuenzle
0,Jack Drolen
0,Jackson McCausland
0,Jordan Liff
0,David Castillo
0,Elias Magallanes Jr.
0,Blair Weber
b,r,e,a,k
Magma Bears,10
teamInfo,,"ALL OF NEW YORK, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Achinth Bharadwaj
0,Andrew  Seiden
0,Brandon Chan
0,Christopher Novielli
0,Christopher Wong
0,Christopher Wells
0,Colton Lubaszka
0,Deven Amann-Rao
0,Drew Woods
0,Elan Kane
0,Ethan Underweiser
0,Ian Soderlund
0,Jacob Margolis
0,James Leonard
0,James McEwan
0,Jared Kim
0,John Brancato
0,Johnny Jiang
0,Justin Ondrof
0,Lee Martel
0,Myles Moore
0,Philip Liu
0,Quinn Hauck
0,Ricky Chen
0,Ryan Blazejewski
0,Thomas Santiago
b,r,e,a,k
Colt,11
teamInfo,,"Hartford, Connecticut",,,
 ,Daniel Conner
00,Dong Lam
00,James Beckman
00,Kekeli Afantchao
00,Nicholas Catrini
00,Zac Sequeira
04,Jeremy Bernier
07,Clayton Duffy
09,Colin Dunn
13,Ben Chaimberg
15,Holland Florian
24,Nitesh Desai
26,Adam Neu
35,Oren Lieber-Kotz
36,Noah Schulman
44,David Sands
45,Philip Murray
47,Jason Ellis
54,Logan Edwards
55,Remy Gaulin
57,Samuel Roberts
77,Jacob Latronica
81,Matthew Kearney
88,Drew Schnaudigel
b,r,e,a,k
TROUT,14
teamInfo,,"Newton, Massachusetts",,,
 ,Adam Offit
 ,David Leder
 ,Evan Hoch
 ,Jack Kenslea
 ,Mark Gross
 ,Richard Dorff
0,Sumner Gubisch
0,Zak DonGia
0,Ian Bowe
0,Matthew Ayers
0,Michael Vanderloo
0,Nicholas Elias
0,Jayden Amirault
0,Justin Barlas
0,Kristian Blau
11,Henry Baker
21,Jordan Dorff
b,r,e,a,k
MBTA,19
