Midwest Throwdown,College - Women ,5,3,2022
Columbia,MO,2022-03-05,2022-03-06
https://play.usaultimate.org/events/Midwest-Throwdown-2022/schedule/Women/CollegeWomen/
Iowa,16
teamInfo,Saucy Nancy,"Iowa City, Iowa",http://saucynancyultimate.weebly.com/,https://www.facebook.com/saucynancyultimate/?ref=hl,https://twitter.com/SaucyNancyIowa
0,Allyson McNall
0,Anna Riley
0,Anna Lane
0,Astrid Weinstein
0,Emily Hill
0,Hailey Olsen
0,Jayna Wanamaker
0,Megan Davis
0,Olivia Ahrens
0,Piper Seals
0,Sara Ali
0,Kobie Long
12,Erin McFadden
13,Danica Porter
14,Isabella Tramel
15,Marissa Lyon
18,Claire Meyer
21,Marissa McFadden
22,Jessica Huang
25,Abigail Davison
41,Katherine Kruser
b,r,e,a,k
Minnesota,9
teamInfo,Matrix,"Minneapolis, Minnesota",,,
coaches,Carlos Lopez
0,Zella Sahar
03,Alison Roston
04,Sandra Kniely
08,Eugenia Garza
11,Mimi Kniser
13,Esther Gendler
16,Sarah Christie
17,Megan Raatz
18,Nouchee  Xiong
19,Isabel Demo
22,Lara Newton
25,Olivia Lagos
28,Marin Ryan
33,Katya Borisova
34,Elise Gallup
42,Carrie Coyer
93,Sylvie Mercil
b,r,e,a,k
Michigan Tech,8
teamInfo,Superior Ma's,"Houghton, Michigan",,,https://twitter.com/mtusupma
0,Audra Bialik
0,Autumn Sanford
0,Emma Elliot
0,Grace Meyer
0,Haley Papineau
0,Jessica Lyons
0,Katy Krieger
0,Lauren Auge
0,Makenna Dawson
0,Megan  Huggett
0,Serenity  Snyder
0,Sierra Williams
0,Sophie Stewart
0,Tessa Meyer
0,Abrielle Blonde
02,Lucinda Toppen
06,Allyson Fenton
b,r,e,a,k
Truman State,1
teamInfo,TSUnami Women's Ultimate,"Kirksville, Missouri",http://tsunamiultimate.weebly.com/,https://www.facebook.com/tsunamiultimate/,https://twitter.com/tsunamiultimate
 ,Alex Rositz
 ,Autumn Schrader
 ,Jaci Steltenpohl
 ,Kayla Gerlt
 ,Sarah Simons
0,Madison  Polniak 
0,Jordan Plassmeyer
0,Kate Luedke
11,Emma  Ingle
14,Eileen Finley
17,Colleen O’Reilly
18,Annie O'Brien
24,Alexandria Werner
55,Vela Lightle
80,Noelle Hogrebe
95,Erika McIntyre
b,r,e,a,k
Carleton College-Eclipse,2
teamInfo,Eclipse,"Northfield, Minnesota",http://carletoneclipse.weebly.com/,,https://twitter.com/eclipsethedisc
 ,Charlotte Zinda
 ,Elizabeth Swanson
 ,Emily Hall
 ,Helena Squires Mosher
 ,Molly Schwartz
 ,Natalie Lang-Ree
 ,Rowan Dong
 ,Siena Leone-Getten
11,Anna Roberts
12,Zoe Marquis
13,Hazel DeHarpporte
14,Maya Kalmus
16,Anna Eifert
17,Emily Lanegraff
18,Colleen Milligan
20,Grace Prince
22,Grace Hague
23,Kyla Christie
25,Tess Barton
26,Claire James
28,Dana Fried
33,Frankie Saraniti
47,Alex Rowell
b,r,e,a,k
Purdue,7
teamInfo,Xpress,"West Lafayette, Indiana",http://purduewomensultimate.weebly.com/,https://www.facebook.com/xpressultimate/,https://twitter.com/PurdueWomensUlt
0,Allison Kramp
0,Hannah Rapp
0,Lydia Grorud
0,Olivia Herbert
03,Jacie Kalk
04,Leanna Sequeira
10,Louisa Davis
15,Abby  Wiedeman
21,Riley Dickson
23,Kelsey  Booth
24,Emma Armstrong
30,Stephanie Nobbe
31,Mary Braun
32,Lauren Mikell
33,Brynne Hunt
34,Lauren Kitten
40,Violeta Saldarriaga
47,Crystal Webb
51,Claire Middendorf 
62,Ella Kanaby
66,Emma Lien
99,Molly Beatty
b,r,e,a,k
Illinois,10
teamInfo,Illinois,"Champaign-Urbana, Illinois",http://illinoismenace.tumblr.com/,https://www.facebook.com/IllinoisWomensUltimate,https://twitter.com/IllinoisMenaceU
 ,Brittney Gorman
0,Emma Worrell
0,Giovi Kelly
0,Isabella Lebovic
0,Julia Kasner
0,"Luisa ""RJ"" Ruge-Jones"
0,Nora Schnulle
0,Rose Dinh
0,Summer  Matthes
0,Abbey Mullen
0,Angela Gavic
b,r,e,a,k
Wisconsin-Eau Claire,15
teamInfo,SOL,"Eau Claire, Wisconsin",http://uwecwomensultimate.wixsite.com/solultimatefrisbee,https://www.facebook.com/pages/UWEC-SOL-Ultimate/119434234738605,https://twitter.com/SOLultimate
coaches,Nora Mitchell
 ,Katherine Wilmes
0,Layla Lemley
0,Rose McKowen
0,Elise Harper
0,Sarah Heuss
06,Abigail Fischer
09,Alyssa Horton
11,Sophia Priebe
14,Charlotte Kuderna
15,Anna Benishek
16,Ella Pratt
22,MiKayla Schuebel
24,Lindsey Clarin
25,Sadie Haas
30,Grace Dube
31,Rachel Foldy
33,Maggie Guetschow
37,Sydney Schermerhorn
44,Grace Liebl
60,Paige Murphy
69,Danielle Carstensen
b,r,e,a,k
Colorado State,6
teamInfo,Hell's Belles,"Fort Collins, Colorado",,https://www.facebook.com/csuwomensultimate,@HellsBellesUlti
0,Annie Pelletier
0,Cassandra  Banuelos
0,Charlotte Bokhof
0,E Wells
0,Genevieve Reyland-Slawson
0,Grace Goldenberg
0,Grace Brown
0,Kathryn Paruszkiewicz-Philson
0,Katie Sheridan
0,Kiera Schreiber
0,Madison Hill
0,Maggie Cvar
0,Sonai Donnell
0,Sutton Ballard
0,Taylor Abrams
0,Zoe Manta-Kennedy
14,Megan Kiefer
18,Alexis Morrissey
21,Elyse Bartucci
23,Hannah Renstrom
b,r,e,a,k
Kansas,14
teamInfo,Betty Ultimate,"Lawrence, Kansas",modules/common/www.bettyultimate.com,https://www.facebook.com/pages/Betty-Ultimate/144061402213,https://twitter.com/bettyultimate
0,Alexis Berra
0,Anika Kieler
0,Annie Patton
0,Chandler Olmstead
0,Claudia Dorantes
0,Elleri Nichols
0,Emma Herr
0,Grace Fornwall
0,Ivy Greenberg
0,Janie Rainer
0,Kalissa Fruetel
0,Katelyn Accola
0,Kaylyn Gordon
0,Kristen Knipp
0,Morgan Siemers 
0,Neelie Browne
0,Olivia Rimmer
0,Tatiana Marshall
0,Yuvia Serna
b,r,e,a,k
Washington University,3
teamInfo,Iron Horse,"St. Louis, Missouri",,https://www.facebook.com/twoWUs,https://twitter.com/wuwultimate
coaches,Anat Gross
 ,Isabella Singer
 ,Kira Harris
 ,Raiyan Hamilton
 ,Shannon Quintana
10,Julia Wang
12,Cynthia Chang
16,Lindsey Hauck
21,Maggie Zhang
21,Catherine Euliano
24,Vivien Marmerstein
25,Kenia Mendoza
29,Irene Zhou
33,Olivia Gerregano
37,Jaimie Lin
42,Diya Diwakaran
44,Alexandra Rifkin
55,Casey Ellyson
77,Margaret Eisfelder
83,Julia Robbins
b,r,e,a,k
St. Olaf,11
teamInfo,Vortex,"Northfield, Minnesota",http://vortexultimate.weebly.com/,https://www.facebook.com/VortexWomensUltimate/,https://twitter.com/STOWomensUlti
coaches,Rebecca Enders
 ,Grette Schmidt
0,Hannah Omodt
0,Leina Goto
0,Emily Mulhern
0,Emma Jansen
0,Grace Milhaupt
0,Abigail Halverson
0,Eleanor McDonald
0,Ruhama  Solomon
0,Unni Isaksen
13,Julia Himmelberger
18,Anna Mulhern
22,Elsa Anderson
23,Madeline Sorenson
25,Emily Wammer
29,Anna Clements
30,Neina Abdulai
31,Carolina Schuster
33,Annika Challgren
41,Caroline McKnight
93,Bella Marek
98,Savina Dock
b,r,e,a,k
Iowa State,4
teamInfo,Woman Scorned,"Ames, Iowa",,https://www.facebook.com/pages/Woman-Scorned-Ultimate/245315626189,https://twitter.com/ISUWomanScorned
0,Angela Clapp
01,Clare Holden
02,Sydney Mier
03,Lisa Hansen
04,Saiyara Iftekharuzzaman
05,Whitney Willoz
07,Anna Werner
08,Katelynn Elliott
09,Presley Philipp
10,Ayah Gleisner
11,Mia Charlson
12,Rachel Leholm
13,Marina Jacobson
14,Taylor Hanson
15,Bailey Dennis
18,Maria Schiffer
19,Margaret Wolfe
20,Liz Walters
21,Caroline Walrich
22,Kiah Christopherson
23,Kayla Frickenstein
24,Lindsey Klatt
26,Emma Haynes
27,Grace Carlson
28,Alex Gustafson
33,Sara Swenson
34,Natalie Rhodes
44,Anna Hanson
55,Faith Hall
63,Josie Nichols
69,Gayle Yii
99,Jillian Olson
b,r,e,a,k
Wisconsin,5
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnaatropa.wordpress.com,,https://www.twitter.com/bdultimate
coaches,Erynn Schroeder,Glenn Poole
 ,Cate Brandt-Fontaine
 ,Hannah Rapp
 ,Megan Timm
 ,Mia Wieben
0,Helen Murphy
10,Tierney Bilstrom
13,Tessa Berry
14,Stephanie Kishter
17,Laura Coleman
21,Sarah Rubin
22,Stefanie Bugasch Scopoline
23,Anjali Mathur
24,Kamden Stark
25,Kelsie Tingle
29,Gabriela Stark-Torrentera 
