Men's College Centex,College - Men ,19,3,2022
https://play.usaultimate.org/events/Mens-College-Centex/schedule/Men/CollegeMen/
Texas,1
 ,Calvin Nguyen
00,Jake Worthington
00,Michael Stinger
00,Noah Powell
00,Peter Ngo
00,Ryan Reinhart
00,Saad Majeed
00,Aaron Barcio
00,Brandon Lemens
00,Cade White
00,Christopher Cassella
00,Elliot Lee
00,Gavin Babbitt
00,Jackson Arnold
00,Jacob Radack
00,Zachary Slayton
01,Kolbe Bauer
03,Saaketh Palchuru
06,Jacob Sames
07,Christopher Layden
25,John Clyde
35,Matt Chambers
36,Aly Hirani
b,r,e,a,k
McGill,16
0,Benno Krojer
0,Daniel Tu
0,Faris Nolan
0,Fritz Rehmus
0,Jaden Verlaan
0,Makalu Green
0,Nathan Wu
0,Samir Dattani
0,Rafael Imbert Rivas
12,Elio Abi Younes
17,Sean Hall
27,Solomon Podorovsky
37,Calvin Coulbury
39,Owen Kolinski
42,Tynan Peterson
69,Ruari McEwan
b,r,e,a,k
Chicago,9
 ,Cory McCormack
 ,Kevin Liu
 ,Matthias Ling
 ,Robin Erdakos
 ,Thomas Alford
0,William Jaffe
0,Raphael Rosen
0,Suhaas Katikaneni
0,Leon Tan
0,Kenneth Lu
0,Matthew Wieseltier
0,Grant Harris
0,Joseph Sifakis
0,Andrew Kindseth
0,Dylan Petiprin
0,Dylan Zhou
0,Gabriel Chalker
10,Mateo Garcia
15,Samuel Nitkin
16,Jared Brodie
18,Dale Decatur
20,Patrick Kelly
27,Alexander Franzese
32,Sean McSweeney
33,Graham Certain
66,Justin Bossenbroek
b,r,e,a,k
LSU,8
 ,Christian Lacoste
 ,Kenny Hingle
 ,Michael Crick
 ,Tyler Rogers-Himel
0,Joseph Bullard
0,Noah Balbon
0,Saif Ahmed
0,Luke Anseman
0,Mark Jeremiah
0,Martin Sullivan
0,Hayden Jack
0,Hobbs McAllister
0,James Lindquist
0,Collin Casseri
0,Daniel Carter
0,Devon Teer
0,Evan Bourgeois
0,Evan Scariano
0,Adam Brunner
0,Bryce Lipscomb
10,Marty McGreal
15,Brock Thibodeaux
16,Miles Polito
25,Nicholas Major
32,Gabriel Hardy
45,Benjamin Mundt
69,Jared Smith
99,Jacques Gaspard
b,r,e,a,k
Dartmouth,10
 ,Connor Coale
0,Daniel Chen
0,Daniel Shen
0,Drew Loughnane
0,Erich Woo
0,Aaron Rosenthal
