Western NY D-III College Men's CC,College - Men ,9,4,2022
Rochester
 ,Jacob Kelley
0,Leo Sciortino
0,Luciano Rienecker
0,Mitch Whisner
0,Ness Patti
0,Ryan Hilton
0,Sameer Jain
0,"Samuel ""Quotes"" Cherin"
0,Steven Wang
0,Theodore Taylor
0,Victor  Chang
0,Jack Rollman
0,Jacob Trokel
0,Adam Cummings
0,Alex Lammers
0,Anthony LaBarca
0,Avery Girsky
0,Ben Wyatt
0,Benjamin Perry
0,Benjamin Kelley
0,Blaine Dillingham
0,Caiden Larsen
0,Christopher Piatek
0,Daniel Kesler
0,Dylan McKellips
0,Ezra Tock
0,Garrett Maslyar
0,Ian Clingerman
0,Isaac Degenholtz
10,Fritz (Frederick) Howard
11,Edward Kineke
21,Eli Kosson
42,David Leder
43,Noah Bryan
50,Jack Ringel
b,r,e,a,k
Hamilton
03,Jack Ritzenberg
04,William Neault
06,James Kaeser
07,Andrew Brennan
08,Avery Lum
10,John Carbone
11,Henry Pomerance
12,Conrad Smith
15,Gregory Varney
16,Noah Bridgeman
19,Graham Stuard
20,William Swartz
21,Austin Cipriano
26,Robert Aronson
27,Ryan Crist
30,Nicholas Adair
38,William Crane-Morris
43,Jeremy Gordon
61,David De Frutos Ostrander
69,Man Nguyen
80,Connor Whynott
88,Khuong Le
88,Yasin Haffary
99,Connor Feldman
b,r,e,a,k
SUNY Cortland 
0,Matt Bartley
01,Sam Dunmire
02,Luke Barrett
03,Damon Carroll
05,Gilbert Joshua Pecho
08,Jackson  Warren
09,Christopher Caneiro
10,Leonardo  Rodriguez 
11,Kevin Allan
14,Justin Horton
15,Joseph Gerstle
18,Harrison Kelly IV
22,Christopher Topper
23,Mark Weidman
24,Kyle McGee
25,Aidan Russo
30,Alex Chan
31,Anthony Graff
34,Timothy Zorn
41,Jordan Lambert
48,Jonathan Cangelosi
55,Jed Weires
75,Dominick Pilo
77,Maxwell Tolan
88,Brandon Cajigas
97,James Marino
99,Jeremy Dzigas
b,r,e,a,k
SUNY-Fredonia
0,Alex Staco
0,Asa Ostrowski
0,Brandon Jeanotte
0,Elliot Wood
0,Jacob  Montoya
0,Jared Laurito
0,John Lombardo
0,Justin McCaffrey
0,Ryan Nowak
0,Shayne Edgecomb
b,r,e,a,k
Ithaca
0,Noah Kamens
02,Eli Robinson
04,Joshua Krizar
10,Elliot Mintz
11,Owen Young
13,Stephen Welsh
14,Benjamin Gutchess
15,Ben McKelvey
16,Nadav Berkman
17,Zebadiah Staples
20,Sawyer Simmons
24,Sam Isle
26,Jack McShane
27,Justin Juchnewich
32,Luke Pohlman
34,Ian Donahue
93,Daniel Orlich
95,Tim Hunt
96,Ben Dadmun
97,Vincent  Masotti
b,r,e,a,k
Colgate
 ,Eric Barber
 ,Jack McGrath
 ,Jason Pratt
 ,Justin Ben-Ari
11,Andrew Lass
13,Michael Spivey
15,Ryan Ratzlaff
17,Cameron Swaney
18,Ayden Simpson
19,Sawyer Fisher
20,Ryan Ewanow
21,Nathan Kwon
22,Ian Wehrly
24,Jiaming Hu
25,Benjamin Godbout
28,Sam Markowitz
30,Sid Wadhera
33,Hua Zheng
36,Sam Rowland
39,Connor Deagle
69,Mason Woodman
b,r,e,a,k
SUNY-Geneseo
0,Aidan  Cheeseman
0,Alex O’Reilly
0,Brian Andrew Minton
0,Bryan Campagna
0,Christian Chin
0,Christopher Ventre
0,Daniel Sullivan
0,Ian Ward
0,Jack Kirby
0,Jackson Russo
0,Jeffrey Kucerak
0,Jonathan Kelsch
0,Joseph Vafis
0,Joseph Baldessarre
0,Joseph DiGilio
0,Josh Edelbach
0,Justin Blakesslee
0,Kevin Shepardson
0,Nicholas Smolinski
0,Oliver Stordahl
0,Owen McNally
0,Peter Peschel
0,Quentin Wall
