title,published_at,url
Rhino Slam! Vs. Chicago Machine - 2023 Nationals Quarterfinals,2023-10-21T02:06:24+00:00,https://vimeo.com/876585061
Rhino Slam! Vs. Raleigh-Durham United - 2023 Nationals Pre-Quarterfinals,2023-10-21T00:48:29+00:00,https://vimeo.com/876575772
Revolver Vs. DiG - 2023 Nationals Pool Play,2023-10-20T06:50:31+00:00,https://vimeo.com/876270127
Revolver Vs. Sub Zero - 2023 Nationals Pool Play,2023-10-20T05:57:02+00:00,https://vimeo.com/876258515
Chicago Machine Vs. Furious George - 2023 Nationals Pool Play,2023-10-20T04:58:21+00:00,https://vimeo.com/876247881
Chicago Machine Vs. Blueprint - 2023 Nationals Pool Play,2023-10-20T04:40:37+00:00,https://vimeo.com/876244622
RAMP Vs. Chicago Parlay - 2023 Regionals 2nd Semis,2023-09-25T01:27:04+00:00,https://vimeo.com/867770093
RAMP Vs. Spectre - 2023 Regionals 2nd Quarters,2023-09-24T22:00:25+00:00,https://vimeo.com/867739278
RAMP Vs. Bandwagon - 2023 Regionals Quarters,2023-09-24T05:24:26+00:00,https://vimeo.com/867590853
RAMP Vs. Skyhawks - 2023 Regionals Prequarters,2023-09-24T04:11:09+00:00,https://vimeo.com/867584870
RAMP Vs. Hybrid - 2023 Regionals Semis,2023-09-24T01:42:45+00:00,https://vimeo.com/867571103
RAMP Vs. Chicago Parlay - 2023 Sectionals Finals,2023-09-10T22:31:55+00:00,https://vimeo.com/862972898
RAMP Vs. Nothing's Great Again (aka Babymaker) - 2023 Sectionals Semifinals,2023-09-10T04:09:46+00:00,https://vimeo.com/862808131
RAMP Vs. Skyhawks - Sectionals Quarterfinals,2023-09-10T03:41:09+00:00,https://vimeo.com/862805429
RAMP Vs. Stackcats - 2023 Sectionals Pool Play,2023-09-10T03:13:45+00:00,https://vimeo.com/862802734
RAMP Vs. Prion - 2023 Sectionals Pool Play,2023-09-10T02:08:11+00:00,https://vimeo.com/862795922
Truck Stop Vs Chicago Machine - 2023 ProChamps Pool Play,2023-09-03T20:04:17+00:00,https://vimeo.com/860695816
Rhino Slam! Vs Chicago Machine - 2023 ProChamps Pool Play,2023-09-03T19:21:16+00:00,https://vimeo.com/860689010
Doublewide Vs Chicago Machine - 2023 ProChamps Pool Play,2023-09-03T18:51:19+00:00,https://vimeo.com/860684287
Chain Lightning Vs PoNY - 2023 ProChamps Pool Play,2023-09-03T18:14:37+00:00,https://vimeo.com/860678842
0202-2020,2020-02-25T08:34:48+00:00,https://vimeo.com/393625420
