Boston Invitational 2017,Club - Men ,24,6,2017
Devens,MA,2017-06-24,2017-06-25
https://play.usaultimate.org/events/Boston-Invitational-2017/schedule/Men/Club-Men/
Ironside,1
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/BostonIronside/,https://twitter.com/Boston_Ironside
2,John Irvine
9,Eric Shaw
00,Jacob Taylor
03,Kurt Gibson
04,Jason (Jay) Clark
05,Jordan Taylor
05,Josh Markette
07,William Neff
10,Tyler Chan
11,Christian Foster
12,Alex Simmons
16,David Ferraro
17,R. Thomas Sayre-McCord
18,Ryan Dinger
22,Michael Voelpel
24,Davis Whitehead
25,John Stubbs
27,Jack Hatchett
28,Benjamin Katz
33,Nico Mueller
35,Piers MacNaughton
74,Mac Hecht
99,Andrew Hooker
b,r,e,a,k
Big Wrench,4
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Alex Caulfield
0,Ariel Rascoe
0,Benjamin Attal
0,Connor Haines
0,DAN FORSETER
0,George Holt
0,Jacob Marsh
0,Joseph Min
0,Jac Carreiro
0,Michael Dillard
0,Nathaniel Dick
0,Sam Dushay
2,Ken Noh
3,Steven Her
6,William Simon
7,Gabriel Schmitt
7,Alexander Roche
10,Elijah Mishkind
12,Brent Lo
17,Andrew Zaccardi
17,Sage Tanner
19,Solomon Rueschemeyer-Bailey
25,Benjamin Wittenberg
25,Ilya Yudkovich
25,Ivan Tran
48,DAMIAN WOODARD
91,Jacob Shillue
b,r,e,a,k
Colt,5
teamInfo,,"Southington, Connecticut",,,
0,Gavin Clemmey
4,Zachary Braun
5,Anthony Iacobacci
7,Ricky Lewandowski
8,BRIAN MCLAUGHLIN
02,Andrew Thai
10,NICHOLAS SILBART
14,Joseph Ouellette
16,Marc Soldini
22,Ian Soderlund
23,Daniel Conner
27,Jeffrey Adams
32,Zach Grappone
33,Kyle Saroka
34,Benjamin Gagne-Maynard
34,Timmer Farrell
45,Philip Murray
50,Brendan Loyot
52,Ryan Strobel
59,Christopher Enderby
66,Garrett Santi
b,r,e,a,k
Breakers,8
teamInfo,,"Providence, Rhode Island",http://breakersultimate.weebly.com/,https://www.facebook.com/groups/907314719307161/,@breakersri
0,Jared Perkins
0,Nate Taylor
0,SAMUEL MASSION
0,YANNAI SHMERER
2,Matt Goldberg
3,Jesse Charpentier
6,Patrick Shea
17,Ian Brown
18,Jacob  Freedman
20,Donnelly Roberts
21,Michael Mason
30,Lucas Johnson
44,Henry Jones
96,Devin Kosowan
b,r,e,a,k
Dig,2
teamInfo,,"Boston, Massachusetts",modules/common/digultimate@gmail.com,https://www.facebook.com/digultimate,https://twitter.com/digultimate
0,Carter Thallon
0,Chris Bartoli
0,Henry Babcock
3,Ryan Rzepka
4,Tanner Halkyard
5,Noah Backer
6,Rocco Essex-Linehan
8,Ben Sadok
8,Thomas Edmonds
9,Nils Clauson
10,William Stewart
11,Mat Little
12,Tim Schoch
13,Hartley Greenwald
15,Dylan Best
20,Jonah Kurman-Faber
22,Benjamin Tseytlin
25,Emmett Blau
27,Nicholas Thompson
35,Dan Goldstein
64,Carl Frederik Brasz
71,Denis Maguire
b,r,e,a,k
Grand Trunk,7
teamInfo,,"Toronto, Ontario CA",,https://www.facebook.com/grandtrunkultimate/,https://twitter.com/grandtrunkulti
0,GABRIEL BROWN
0,Jason (Hang) Lam
1,Andrew Ling
1,Austin Ha
7,Cooper Toogood
15,Matthew Jones
17,Wesley Tin
19,Adam Turcotte
23,Jordan Ing-Chen
24,Daniel Wong
25,John Huang
26,Bryan Kuo
34,Philip Turner
42,Ivan Peng
45,Patrick Keenan
51,kawa cheng
53,Kristofer Chambers
61,Rhys Toogood
84,EAMONN PINTO
87,Ronald Siu
b,r,e,a,k
Garden State Ultimate,3
teamInfo,,"Princeton, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
0,Andrew O'Connor
0,ANDREW LOPRESTI
0,Alex Liu
0,Brian Magerr
0,David Voychuk
0,Dustin Becker
0,JAKE STEVELMAN
0,Jeffrey Nelson
0,Jimmy Alderisio
0,Matt Lefebvre
0,Tyler Finkler
0,Zachary Sands
1,Matt Chun
2,Angelo Olcese
4,Gregory Stolowski
5,Mac Rushing
5,Michael Campanella
6,Miles Eckardt
6,Jibran Mieser
8,Peter Jimenez
10,Shashank Alladi
14,Joshua Norton
16,Raymond Lu
24,Alexander Davis
60,Eric Li
77,Bo Li
84,Christopher McGlynn
b,r,e,a,k
Bruises,6
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/bruisesultimate,https://twitter.com/bruisesultimate
1,Anthony Bevilacqua
5,Peter Jacobs
7,John Repucci
8,Michael Humbert
9,Addison Hanson
06,Adam Logan
11,Patrick Collins
12,Dylan Baroody
14,Jonathan Tomer
15,Hansen Yang
16,AJ Hutchins
17,DEREK STEVENS
18,Alexander Curreri
20,Benjamin Rosenfeld
21,Brian Munroe
22,Bryan Finney
24,Travis Ellyson
29,Jared Chapman
33,Micah Botkin-Levy
35,Russell Katz
36,Andrew Yale
37,Jack Deschler
42,Adam Ehrenberg
