Club Terminus 2017,Club - Men ,22,7,2017
East Point,GA,2017-07-22,2017-07-23
https://play.usaultimate.org/events/Club-Terminus-2017/schedule/Men/Club-Men/
Chain Lightning,1
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
00,Conor Brownell
00,Micah Jo
02,Austin Taylor
03,Matthew Knowles
04,Jaime Perez
08,Matthew Smith
09,Timothy Stapleton
10,Danny On
11,Kelvin Williams
13,Josh Turner
16,Anders Olsen
19,Stanley Birdsong
20,Joshua Bush
21,David Berendes
22,Sean Sears
22,Parker Bray
24,Christian Olsen
25,Sun Choi
27,Paul Lally
29,Sam Gainer
30,Martin Newman
32,Karl Staber
55,Blake Hannah
81,Joseph Burns
85,Evan Boecking
87,Trenton Spinks
b,r,e,a,k
Rush Hour,8
teamInfo,,"Atlanta, Georgia",,,
0,Andrew Harkins
0,Chunghyun Kim
0,Jacques Perivier
0,Kevin DeMarco
0,Kiran Potula
1,DANIEL  PRICE
3,John Boezi
3,Andrew Benton
4,Aaron Claytor
7,Zaki Durry
11,Jackson McHugh
12,Andrew Chung
13,David Egbert
14,Matt Wasson
15,Blake Michal
15,Richard Bragg
18,Zachary Hollis
19,Sean Finlay
25,Morgan choi
27,RYAN CROSS
27,Lucas Maurer
44,Michael Tillotson
50,Howard Tong
70,Robert Patten
77,Daniel Gempesaw
82,Michael Price
99,WILLIAM NALLEY
b,r,e,a,k
BaNC,9
teamInfo,,"Charlotte, North Carolina",,,
01,Adam Crews
02,Geffen Agasi
03,Andrew Hager
04,Danny Chao
05,DAVID CRESPI
06,Patrick McKendry
07,Nicholas Headden
10,Taylor Crotts
11,Adam Russell
12,Reid O'Brien
14,Kartik Sethuraman
15,Juan Castaneda
19,Benton Bailey
20,Joseph Chen
21,Nathan Silvestri
24,Cliff Totherow
27,Alex Berro
28,Andrew Gruninger
33,Samuel Lee
34,Daniel Lee
42,Dorian Barrier
50,MATTHEW HUYNH
80,Ari Livanos
99,George Bumgardner
b,r,e,a,k
Shrimp Boat,16
teamInfo,,"TALLAHASSEE, Florida",,,
0,Avery Van Brussel
0,Riley Robertson
4,Gabe Azarcon
5,Driss Ziane
7,Carlito Que
7,Ryan Coker
8,Michael Green
10,Zane Barber
11,Connor Howell
21,Robert Larsen
24,Dylan Claerbout
87,Daniel Miller
99,Jeremy Christian Stowers
b,r,e,a,k
Florida United,2
teamInfo,,"Florida, Florida",,https://www.facebook.com/FloridaUnited,https://twitter.com/FloridaUnited
02,Jeremy Langdon
04,Bradley Seuntjens
05,Michael Fairley
06,Michael Fioramonti
07,Ryan Hiser
08,Tyler Kunsa
09,Bobby Ley
11,Mischa Freystaetter
12,Travis Catron
13,Alton Gaines
15,Dustin Travaglini
18,Chris LaRocque
23,Billy O'Bryan
28,Josh McKisic
30,Chris Gibson
31,Andrew McKelvey
32,Brian Casey
33,Mark Lin
36,Stephen  Muir
37,Peter van de Burgt
39,Jordan Huston
75,Ryan Chard
89,Cardinal Clarke
b,r,e,a,k
Kentucky Flying Circus,7
teamInfo,,"Louisville, Kentucky",kentuckyflyingcircus@gmail.com,https://www.facebook.com/kentuckyflyingcircus,https://twitter.com/KYFlyingCircus
0,Corey Hardesty
0,Jonathan Rosen
0,LOGAN HYMAN
0,Trevor Gingrich
0,Xavier Payne
6,Dan Cunningham
7,Evan Mack
7,Benjamin Petrey
11,Chris Gallagher
19,Stephen Hendrickson
24,Luke Byron
51,Chris Ginet
52,Ian Mack
52,Kane Olson
60,Curtis Pederson
b,r,e,a,k
H.O.G. Ultimate,15
teamInfo,,"Macon, Georgia",,,
01,Jeffrey Oravic
02,Andrew Coats
04,Christopher Tucker
05,Rusty Watson
06,Galen Ramsey
07,AARON FOWLER
08,David Kandler
09,Parker Rhinehart
10,Samuel Sumner
11,Stephen Cook
12,Jake Boothby
14,Jonathan Spencer
17,Jerome Jackson
17,Logan Ogletree
18,Thai-Binh Le
20,Sean Kelley
22,Caleb Myatt
23,Matthew Cook
24,Elliott Park
25,Naomi Anderson
30,Hal Robinson
31,Kyle Tolbert
35,Will Flournoy
