TCT Elite-Select Challenge 2017,Club - Men ,19,8,2017
Appleton,WI,2017-08-19,2017-08-20
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2017/schedule/Men/Club-Men/
HIGH FIVE,1
teamInfo,,"Ohio, Michigan",,https://www.facebook.com/HighFiveUlti/,https://twitter.com/HighFiveUlti
0,Jordan O'Neill
01,Alex Edinger
02,Tyler Kinley
03,Jeffrey Brauning
04,Eric Schumacher
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
16,Kevin Coulter
17,Keegan North
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Alex Kapiamba
26,Jake Steslicki
41,Daniel Lee
42,Mike Ogren
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
71,Jacob Turner
77,James Highsmith
91,Joe White
98,Dan Donovan
b,r,e,a,k
Chicago Machine,8
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
0,Jesse White
01,David Libo-on
02,Joshua Stevens-Stein
05,Bradley Bolliger
07,Jack Shanahan
09,Stephan Mance
10,Von Alanguilan
12,Julian Childs-Walker
13,Alex Evangelides
14,Jeffrey Weis
15,Andrew Sheehan
16,Yiding Hou
18,Cullen Geppert
22,Alex Champe
23,Vincent Ciaramitaro
24,Michael Pardo
26,Kevin Kelly
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Travis Carpenter
51,Andrew (AJ) Nelson
55,Pawel Janas
64,Neal Phelps
b,r,e,a,k
Inception,13
teamInfo,,"Denver, Colorado",https://inceptionultimate.wordpress.com/,https://www.facebook.com/inceptionultimate,https://twitter.com/skiception
0,Andrew Stringer
0,Calvin Delamere
0,JAMES KOERNER
0,Matt Bubernak
0,Michael Lun
0,Quinn Finer
0,Sandy Brown
2,Andrew Priester
7,Sean Chapel
8,Matt West
12,Christopher Bonuel
15,Gabe Goodhart
15,Marc Kaylor
18,Philip Sun
25,Gabe Stump
27,Steve Schwab
29,Andrew Larocque
30,Jonathan Stirk
33,Samuel Hotaling
36,Ryan Lacy
81,Dylan Salzman
83,Zachary Nager
87,Tim Hopp
88,Wil St. Charles
b,r,e,a,k
Madison Club,12
teamInfo,,"Madison, Wisconsin",http://www.madisonultimate.blogspot.com,https://www.facebook.com/pages/Madison-Club-Ultimate/121863521240182,@MadisonClub
02,Logan Pruess
04,Patrick Shriwise
05,Ryan Tucker
06,Ian Hahn
07,Seth Weaver
08,Benjy Keren
09,Andrew Meshnick
10,David Meinecke
11,Andrew Brown
12,Chris Wilen
13,Brian Hart
14,Victor Luo
15,Jeff Maskalunas
17,Avery Johnson
20,Glenn Poole
21,David Wiseman
22,Rami Paust
25,Ross Barker
26,Peter Graffy
27,Anson Reppermund
32,Colin Camp
42,Chase Marty
48,Thomas Coolidge
68,Benjamin Nelson
80,Kevin Pettit-Scantling
92,Kevin Brown
b,r,e,a,k
Dig,2
teamInfo,,"Boston, Massachusetts",digultimate@gmail.com,https://www.facebook.com/digultimate,https://twitter.com/digultimate
0,Carter Thallon
0,Chris Bartoli
0,Henry Babcock
5,Noah Backer
5,Michael Sender
6,Rocco Essex-Linehan
8,Thomas Edmonds
8,Ben Sadok
10,William Stewart
11,Mat Little
12,Tim Schoch
13,Hartley Greenwald
15,Dylan Best
17,Eli Motycka
20,Jonah Kurman-Faber
22,Benjamin Tseytlin
25,Emmett Blau
27,Nicholas Thompson
35,Dan Goldstein
71,Denis Maguire
83,Alex Dagley
b,r,e,a,k
Chain Lightning,11
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
0,Daniel Sperling
0,Micah Jo
3,Matthew Knowles
4,Jaime Perez
9,Timothy Stapleton
02,Austin Taylor
08,Matthew Smith
11,Kelvin Williams
13,Josh Turner
16,Anders Olsen
19,Stanley Birdsong
20,Karl Kingma
21,David Berendes
22,Sean Sears
22,Parker Bray
24,Christian Olsen
25,Sun Choi
29,Sam Gainer
32,Karl Staber
55,Blake Hannah
81,Joseph Burns
85,Evan Boecking
87,Trenton Spinks
b,r,e,a,k
Guerrilla,7
teamInfo,,"Oakland, California",,https://www.facebook.com/guerrillault/,https://www.twitter.com/guerrillault
0,Andy Smith
5,Matthew Crawford
02,Samuel Adamson
03,Tommy Adams
04,Shane Earley
06,Charles Cao
07,Kohji Sugioka
08,James Pollard
09,Andrew Moore
10,Sonny Zaccaro
11,Elliott Chartock
12,Steven Chang
13,Dillon Whited
15,Lucas Young
16,Alexander Max
18,Eric Greenwood
20,Sam Swink
22,Lior Givol
23,Ian Meyer
24,Jason Yun
31,Ethan Falat
42,Matt Jaffe
48,Brandon Fein
66,Edward Yanosik
76,Adam Raty
88,Nicholas Murphy
99,Callum Watts
b,r,e,a,k
Smokestack,14
teamInfo,,"Cleveland, Ohio",,,https://twitter.com/CLE_Smokestack
0,Anthony Davis
0,Austin Engel
0,David Picone
0,Erik Lindberg
0,Griffin Binkley
0,JACOB HOOKS
0,John Marotta
0,Milo Korman
0,Nicholas Mathison
0,Peter LaFreniere
0,Jonathon Grgat
3,Joseph Marmerstein
3,Daniel Young
4,Jason Williams
4,Zach Byrnes
5,Amir Kaghazwala
10,Eric Zarobila
12,Tobias Harvey
17,Adam Davenport
26,Zach Johnston
27,Felipe Delgado
35,Joshua Swanson
50,Jon DeAmicis
82,Dutch Kirkman
99,Robert Strohmeyer
b,r,e,a,k
Doublewide,3
teamInfo,,"Austin, Texas",,https://www.facebook.com/DoublewideTX/,https://twitter.com/doublewidetx
coaches,Jose Cespedes,Steven Darroh
0,Eric Guenther
0,Kaplan Maurer
0,Jay Froude
0,Robert Lewis
1,Jason Holleran
2,Matthew Bennett
6,Michael Matthis
7,Ben Lewis
8,Robert Coffin
12,Andrew Walch
13,Dalton Smith
13,Kai Marshall
15,"Sam ""Suds"" Ward"
19,Ethan Pollack
20,Chase Cunningham
21,Connor Ughetta
21,Mitchell Bennett
23,Gabriel Hernandez
24,Rory Orloff
25,Brendan Adams
27,Jake Reinhardt
31,Brandon Malecek
b,r,e,a,k
Furious George,10
teamInfo,,"Vancouver, British Columbia CA",furiousultimate.com,https://www.facebook.com/FuriousGeorgeUltimate,https://twitter.com/FuriousUltimate
0,Andre Gailits
0,Ari Nitikman
0,Edward Guo
0,GREG MOORE
0,KEVIN GREER
0,Malcolm Bryson
0,Tim Tsang
0,Ty Barbieri
2,Peter Galbraith
3,Alistair Robb
7,Charles Eyrich
7,Victor Cheng
8,Morgan Hibbert
17,Patrick Church
23,Fred Lam
24,Peter Yu
27,Alexander Davis
29,Kevin Lore
33,Nick Wright
75,Joel Bellavance
81,Rumi Tejpar
b,r,e,a,k
Rhino,6
teamInfo,,"Portland, Oregon",http://www.pdxrhino.com/,https://www.facebook.com/pages/Portland-Rhino/406995056021898,https://twitter.com/RhinoUltimate
coaches,DANNY QUARRELL
3,John Cairns
6,Cody Bjorklund
7,Kristian Grobecker
8,Benjamin Whitenack
9,Chris Hancock
12,Jonathan Lee
13,Timmy Perston
15,Mario Bundy
17,Raphael Hayes
19,Quinn Buermeyer
20,Brandon Lafferty
21,Benjamin McGinn
22,Grant Cole
30,Sam Franer
35,Andrew Halpin
40,Vinh Bui
44,Owen Murphy
45,RYAN FULLEMAN
47,William Beck
52,Christopher Vandervoort
62,Patrick Buermeyer
69,Duncan McNally
88,Sean Parker
91,Aaron Adamson
b,r,e,a,k
Prairie Fire,15
teamInfo,,"Kansas City, Kansas",http://prairiefireultimate.com,,https://www.twitter.com/pfultimate
01,Wint Doering
02,Nolan Schmalenberger
03,Alexander DeMarais
04,Joe Young
05,Bret Bergmeier
06,Caleb Cauthon
07,Neil Newsome
08,Ben Clark
09,Brooks Hidaka
10,Keaton Bowers
11,Thomas Schreiber
13,Cole Petsche
15,Cameron Hunter
18,Casey Aldridge
20,Andy Woolard
21,Christian Simpson
22,Cody Curran
24,Danny Kurz
25,Brett Hidaka
33,Ryan Tuschhoff
35,Ryan Irvin
42,Chas Busch
51,Isaac Entz
85,Valley Renshaw
b,r,e,a,k
Sub Zero,4
teamInfo,,"Minneapolis, Minnesota",http://www.subzeroultimate.com/,https://www.facebook.com/Sub-Zero-Ultimate-105463586149513/,https://twitter.com/SubZeroUltimate
coaches,Philip Bowen
3,Colin Berry
5,Charles McCutcheon
6,Ethan Rasmussen
8,Cole Wallin
01,Ryan Osgar
02,Ben Feldman
04,Gregory Cousins
10,Josh Klane
12,Grayson Pangburn
13,Anthony Poletto
15,Logan Weiss
21,Eric Johnson
26,Jack Lokowich
32,Sam Hammar
41,Samuel Bumsted
42,Matt Burkhardt
48,Wyatt Mekler
49,Caleb Denecour
54,Dylan DeClerck
66,Jason Tschida
71,Nicholas Simonelli
77,Elliot Trotter
81,Andrew Otterlei
99,Tristan Van De Moortele
b,r,e,a,k
Medicine Men,9
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/MedMenUltimate/,https://twitter.com/MedMenUltimate
coaches,Alexander Crew
01,Max Cassell
03,Joseph DiPaula
06,Frederick Perlman
07,RUSSELL HOWD
08,Houston Parks
10,Peter Mancini
11,Ryan Vance
14,Joseph Patterson
16,Dennis Maclaine
17,Michael Moses
19,Aaron Langley
20,Cortland Broyles
22,BRETT BOYLE
23,Gabriel Webster
29,Matthew Dennin
30,Christian Boxley
35,Matthew Neeley
37,Chip Selden
46,Benjamin Scharadin
52,Raymond Mendoza
80,Troy Holland
86,Justin Solis
87,Matt Kerrigan
b,r,e,a,k
PoNY,5
teamInfo,,"New York, New York",www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
4,Benjamin Jagt
00,Chris Kocher
00,Clark Cofer
00,John Best
00,Jon Cox
00,Kevin Norton
00,Matthew Lemar
00,Michael Drost
01,Markian Kuzmowycz
02,Sean Keegan
06,Michael Brenner
08,Harper Garvey
08,Ian Guerin
09,Samuel Little
10,Gerald Tigol
10,Matt Hennessy
13,Alberto Alarcon
14,David Vuckovich
18,Tyler Haskell
19,Isaac Saul
21,Samuel Carletta
27,Nathan Shapiro
33,Jake Herman
43,Josue Alorro
47,Conrad Schloer
50,Milo Snyder
61,Matthew Weintraub
b,r,e,a,k
Big Wrench,16
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Nicholas Adolph
01,Jacob Marsh
02,Ken Noh
05,Ivan Tran
06,Jac Carreiro
07,Andrew Zaccardi
08,Sam Dushay
09,Jacob Shillue
10,Nathaniel Dick
12,Brent Lo
13,Joseph Min
14,Llewellyn Smith
19,Solomon Rueschemeyer-Bailey
20,Gene Buonaccorsi
22,Michael Dillard
23,William Simon
24,Jesse Wolf
25,Ilya Yudkovich
26,Benjamin Wittenberg
27,Matthew Rogers
31,Alexander Roche
33,Jordan Kaufman
82,Ariel Rascoe
88,George Holt
99,Stephen Krajeski
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
HIGH FIVE,Madison Club,13,11,"08/19/2017, 08:00",Pool A,Final
Chicago Machine,Inception,13,8,"08/19/2017, 08:00",Pool A,Final
HIGH FIVE,Inception,13,7,"08/19/2017, 12:00",Pool A,Final
Chicago Machine,Madison Club,13,10,"08/19/2017, 12:00",Pool A,Final
HIGH FIVE,Chicago Machine,13,8,"08/19/2017, 14:00",Pool A,Final
Madison Club,Inception,8,12,"08/19/2017, 14:00",Pool A,Final
pool,Pool B
Dig,Chain Lightning,12,10,"08/19/2017, 08:00",Pool B,Final
Guerrilla,Smokestack,14,13,"08/19/2017, 08:00",Pool B,Final
Dig,Smokestack,13,6,"08/19/2017, 10:00",Pool B,Final
Guerrilla,Chain Lightning,8,9,"08/19/2017, 10:00",Pool B,Final
Dig,Guerrilla,13,9,"08/19/2017, 12:00",Pool B,Final
Chain Lightning,Smokestack,11,12,"08/19/2017, 12:00",Pool B,Final
pool,Pool C
Doublewide,Furious George,13,6,"08/19/2017, 10:00",Pool C,Final
Rhino,Prairie Fire,13,7,"08/19/2017, 10:00",Pool C,Final
Doublewide,Prairie Fire,13,8,"08/19/2017, 12:00",Pool C,Final
Rhino,Furious George,10,12,"08/19/2017, 12:00",Pool C,Final
Doublewide,Rhino,13,9,"08/19/2017, 14:00",Pool C,Final
Furious George,Prairie Fire,12,11,"08/19/2017, 14:00",Pool C,Final
pool,Pool D
Sub Zero,Medicine Men,11,10,"08/19/2017, 08:00",Pool D,Final
PoNY,Big Wrench,13,2,"08/19/2017, 08:00",Pool D,Final
Sub Zero,Big Wrench,12,6,"08/19/2017, 10:00",Pool D,Final
PoNY,Medicine Men,11,13,"08/19/2017, 10:00",Pool D,Final
Sub Zero,PoNY,12,9,"08/19/2017, 14:00",Pool D,Final
Medicine Men,Big Wrench,11,9,"08/19/2017, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
HIGH FIVE,Dig,13,8,"08/20/2017, 12:00",1st Place Finals,Final
HIGH FIVE,Sub Zero,13,12,"08/20/2017, 10:00",semifinals,Final
Medicine Men,Dig,6,13,"08/20/2017, 10:00",semifinals,Final
HIGH FIVE,Chain Lightning,12,9,"08/20/2017, 08:00",Quarterfinals,Final
Guerrilla,Sub Zero,9,13,"08/20/2017, 08:00",Quarterfinals,Final
Doublewide,Medicine Men,11,13,"08/20/2017, 08:00",Quarterfinals,Final
PoNY,Dig,9,13,"08/20/2017, 08:00",Quarterfinals,Final
Chain Lightning,Rhino,13,7,"08/19/2017, 16:00",Pre-Quarters,Final
Guerrilla,Furious George,13,10,"08/19/2017, 16:00",Pre-Quarters,Final
Medicine Men,Inception,11,10,"08/19/2017, 16:00",Pre-Quarters,Final
PoNY,Chicago Machine,13,8,"08/19/2017, 16:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Games
bracket,3rd Place
Sub Zero,Medicine Men,13,9,"08/20/2017, 12:00",3rd Place Finals,Final
bracket,5th Place 
Guerrilla,PoNY,8,13,"08/20/2017, 12:00",5th Place Finals,Final
Chain Lightning,Guerrilla,8,13,"08/20/2017, 10:00",5th Place Semis,Final
Doublewide,PoNY,9,12,"08/20/2017, 10:00",5th Place Semis,Final
bracket,7th Place
Chain Lightning,Doublewide,6,13,"08/20/2017, 12:00",7th Place Finals,Final
bracket,9th Place 
