Revolution 2017,Club - Mixed ,15,7,2017
Davis,CA,2017-07-15,2017-07-16
https://play.usaultimate.org/events/Revolution-2017/schedule/Mixed/Club-Mixed
Mischief,1
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
0,Matt West
03,Preeti Nalavade
04,Michael Dirda
05,Robert Yeagle
06,James Hansell
07,Devon Williams
10,Brett Petersen
12,Candice Tse
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
22,Cody Kirkland
23,Jordan Jeffery
25,Audrey Wei
27,Jordan Taylor
28,Catherine Chen
30,Han Chen
33,Scott Gatto
47,Gina Schumacher
66,Jackie Wang
71,Manisha Daryani
72,Devin Drewry
80,Kevin Smith
85,Evan Brydon
88,Laurel (Kirstin) Auker
b,r,e,a,k
Donuts,12
teamInfo,,"Bay Area, California",wearedonutsultimate@gmail.com,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
0,Ari van Schilfgaarde
0,Danielle Gendron
0,Davin Lyons
0,Eric Richardson
0,Erik Urban
0,Claudia Arquero
0,Daniel East
0,Jeffrey Voss
0,Maggie O'Connor
0,Margaret Rosano
0,Megan Gianini
0,KENDRA CONRAD
0,Nikki Chang
0,Sarinah Samsudin
0,Stan Whitcomb
2,Scott Miller
4,Gianna Tesler
08,Adam Koren
13,MICHAEL LOPEZ
15,Jessep Macfarlane
37,Daniel Zakaria
55,Kwai Philpott
77,Alec Surmani
86,Jannon Frank
88,Bill Liu
b,r,e,a,k
Lawn Patrol,18
teamInfo,,"San Jose, California",,,
0,Christopher Tian
0,Christopher Doyle
0,Dana Chang
0,DORIS LIN
0,Jake Chang
0,JEFFREY SHAM
0,KAREN NG
0,KELLY LAVINE
0,LEONARD WEI
0,Bryan Ng
0,Mike Weil
0,Patricia Li
0,Quinn Kennett
0,Sarah Carnahan
0,Shirley Wu
0,Silja Paymer
0,Weiyang Sun
0,Wil Turner
