PB&J 2017,Club - Men ,29,7,2017
College Station,TX,2017-07-29,2017-07-30
https://play.usaultimate.org/events/PBJ-2017/schedule/Men/Club-Men/
Texas Two Step,7
teamInfo,,"Dallas, Texas",,,
coaches,Casey Hogg,Austin Reed
0,Aaron Smith
0,Benjamin Rogers
0,Gavin Davis
0,Hunter Burke
0,Manov Jain
0,Matt Chambers
0,Omar (Leonel) Arellano
0,Ryan Arifin
5,Cameron Breding
7,Alex Fernandez
14,Cade Lopez
15,Zach Howell
18,Zach Hensel
19,Jonathan Costello
20,Jason Jones
22,Connor Olson
27,Matthew Wilson
33,Andrew Stewart
40,Saeed Semrin
69,Caleb Dixon
98,Simon Vickers
99,Alexander McNiel
b,r,e,a,k
Rougaroux,1
teamInfo,,"Baton Rouge/New Orleans, Louisiana",,https://www.facebook.com/groups/220138528493606/,https://twitter.com/rougaroux_ulti
coaches,PAUL WHITENER
0,BRANDON XUEREB
0,Logan Kruger
0,Mac Little
0,Parker Evans
0,Thomas Echols
0,William Wedderburn
1,Philip Lopez
3,Preston Nelson
5,Dylan Reviere
8,Peter Warwick
8,Troy Nunez Jr
9,Kenny Hingle
10,Jack Baba
12,Alexander Antrum
13,M.P. Hayes
18,William Steindorf
20,Matt Freeburgh
21,Eric Reviere
23,Shamit Dua
38,Andrew Dreis
43,Adam  Sellers
44,Benjamin Lamport
77,Kenny Berthelot
88,Xin Shu
b,r,e,a,k
DTH,14
teamInfo,,"Houston, Texas",,,
0,Ames Fegert
0,Ben Gibbons
0,Billy Donatuti
0,Brandon Lin
0,Clay Warzecha
0,Robert Reid
0,Curtis Roark
0,DAVID BOYEA
0,Gabriel Vacaliuc
0,Glenn Lenberger
0,Johnny Frohlichstein
0,Michael Drewry
0,Nate Zachary
0,Peter Volkmar
0,SHANE KOTLARSKY
0,Trevor Spengeman
0,Tung Shu Chu
0,Woodley Simon
5,Tyler Chiu
12,Hunter Paddock
13,Alexander Jiang
17,Terrence Kong
21,James Huizinga
25,Sharief Moghazy
b,r,e,a,k
Austin Amigos,11
teamInfo,,"Austin, Texas",,,https://twitter.com/Austin_Amigos
coaches,Luis Torres
 ,Chris
0,David Pojunas
0,Andrew (AJ) Marks
0,Jacob Sames
0,Joe Williams
0,Jordan Blunt
0,Hayden Stone
2,Erik Atwell
3,Gabriel Martinez
3,Drew Fitzwater
5,Dylan Cox
5,Jackson Akin
5,Nykolas Cooper
8,Noah Sheets
12,Mykael Cooper
14,Samuel Tagle
27,Kyle Henke
32,Alec Ramba
43,Joseph Wylie
b,r,e,a,k
Texas Swing,17
teamInfo,,"Dallas, Texas",,,
coaches,John Higgs,Darius Tse
0,Josh Kreth
0,Kaushik Jampala
0,Leopold LeFebre
0,Logan Johnson
0,Luke Allen
0,Omar  Semrin
0,Pranav Mulukutla
0,Rohan Kotha
0,Ryan Poe
0,Dayne Ware
0,Garet Lipinski
0,Troy Abbott
0,Zach Egge
0,Zachary Slayton
9,Jackson Potts
11,Cullen Baker
12,Samuel Kant
17,Sean Hall
20,Luke Broderick
22,Colton Green
26,Creighton Tisdale
33,Aaron Barcio
b,r,e,a,k
Singlewide,2
teamInfo,,"Austin, Texas",,,
0,C. Rickner
0,Michael Bryant
0,SAM DAVIDSON
0,Samuel Lee
4,Trenton Hebert
4,Dylan Swoboda
10,Ibrahim El-sayed
13,Alexander You
19,LOGAN CROCKER
20,Timothy Robison
24,Brian Gfroerer
32,Jared Schueler
34,Reese Bowman
50,Matthew Armour
72,DEREK TINKER
80,Connor Cole
81,Luke Hebert
88,CEDRIC ATWOOD
b,r,e,a,k
Spring Creek Ascension,8
teamInfo,,"Tomball, Texas",,,
0,John  Shell 
1,Kevin McKearin
2,Sam  Hill
3,Zachary Anderson
7,Zachary Harris
8,Sam  Hiley
9,Cameron Lichnovsky
11,Daniel Trotter
18,john hiley
19,Stephen Strack
21,Andrew Shipp
23,Johua  stutz
24,VINCENT RONCA
32,Ryan Buckingham
35,Jesse Hill
37,Tim Shell
44,Jonathan West
80,Michael Strack
88,Coy Bufkin 
b,r,e,a,k
Premium,12
teamInfo,,"Beaumont, Texas",,,
0,Jeffrey Savoie
1,Eric Rees
7,AARON CRANDALL
8,Jack Guidry
9,Trey Wong
10,ADAM ZAHRADNIK
11,Cody Rees
12,Kyle Turner
22,TANNER ADAMS
28,Hanes Wynn
44,Josh Khoury
45,Samuel Heslep
69,Drew Davidson
84,John Miller
90,Ricardo Flores
b,r,e,a,k
SA Spares,18
teamInfo,,"San Antonio, Texas",,,
0,Chancelor Ginithan
0,Coby McGonagill
0,"Gerardo ""Jay"" Rodriguez"
0,Jacob Garcia
0,Brendon Decker
0,Lucas Delorimer
0,Matthew Gehrlein
0,Tyler Porter
2,Jheremi Villarreal
3,Joseph Williams
4,William Miller
8,Cashon Grice
14,Joseph Morales
16,Steven Glatt
73,Nicholas Gonzales
b,r,e,a,k
The Bucket Brigade,13
teamInfo,,"Hot Springs, Arkansas",,,
0,Ben Pettigrew
0,Craig Robinson
0,Daniel Brewster
0,Jackson Barton
0,Jordan Craig
0,Mason McCloud
0,Ryne Lamm
0,Jeremy DeLon
2,Jordan Bennett
5,Sheldon Shinn
08,Jesse Moore
18,Hayden Dwyer
21,Jared Farley
24,Cameron Winston
34,Austin Kohrs
63,Schuyler Sanders
96,Dylan Joslin
b,r,e,a,k
Papa Bear,5
teamInfo,,"Houston, Texas",,,
0,Christian Hagan
0,Mason Henkes
0,Max Lukoschek
0,Mitchel Sorrels
0,Rafael Cruz-Garcia
0,SEBASTIAN WEINAND
0,Shaun van der Walt
3,Dayne Meyer
7,Matthew Melendez
10,Daniel Erdeljac
12,Andrew Hipskind
20,Jake Tomczyszyn
20,Mohamed Jalajal
20,William Adams
21,Eric Carter
22,Ricardo Rosas
27,James Strasburg
34,James (Drew) Barkley
34,Caleb Ellison
72,Joshua Narabal
b,r,e,a,k
Supercell,3
teamInfo,,"Oklahoma City, Oklahoma",,,@SuperCellOKC
0,Collin Dabbieri
0,Greg Olson
0,Joseph Dal Santo
0,Nathaniel Loyd
0,Wesley Zhang
0,Zachary Johnson
1,Cullen Landry
2,Jonathan Summers
7,Logan Allen
10,Parker Dooly
13,Joseph Fortunato
13,DANIEL SCHMIDT
16,Alex Mudd
16,Andrew Seldenrust
23,Clark Reimer
27,Sam Baskin
31,Christopher Leonard
43,Nolan Randolph
61,Stephen Wilson
72,Steven Wild
b,r,e,a,k
Dallas United: Outlaws,9
teamInfo,,"Dallas, Texas",,,
0,ADAM BARTON
0,Andrew Dorf
0,Benjamin Dipprey
0,BRANDON HASWELL
0,BRIAN TU
0,Chris Armstrong
0,Darius Nicholson
0,Eian Brent
0,Tyler Smith
0,Justin England
0,Micah Rehfuss
0,Neel Reddy
0,Nidhish Lokesh
0,Mark Baldauf
0,Stewart Williamson
1,Josh Cunningham
5,Leith McMillan
11,Matthew Sutton
12,David Knight
13,Blake Herring
29,Kirtan Patel
29,Steven Gomez
30,Luke Rehfuss
45,Daniel Tipton
b,r,e,a,k
Riverside Messengers,16
teamInfo,,"Austin, Texas",http://riversideultimate.org,,
0,Gabriel Salgado
0,George Kilts
0,Jose Tamez Durandeau
0,Joshua Pritchett
0,Justin Rusthoven
0,Steven Trenfield
8,Evan Taylor
9,Jason Friday
14,Gabriel Hart
17,Bryan Kirchmeier
19,Jeffrey Zhao
23,Will Goodwin
37,Sean Kuylen
64,Brian Seiler
87,Tim Tevdovich
