Nor Cal Mixed Sectionals,Club - Mixed ,27,8,2016
Santa Cruz,CA,2016-08-27,2016-08-28
https://play.usaultimate.org/events/Nor-Cal-Mixed-Sectionals-2016/schedule/Mixed/Club-Mixed
Mischief,1
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
0,Matt West
2,Adam Brown
3,Preeti Nalavade
4,DREW KIM
6,James Hansell
7,Devon Williams
8,Jessica Madding
9,Andrew Berry
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
19,Ari Weitzman
20,Jenny Wang
25,Jacob Trivisoserrano
28,Catherine Chen
34,Evan Boucher
36,Matthew Heffernan
42,Robert Yeagle
45,GRACE FLINTERMANN
47,Gina Schumacher
66,Jackie Wang
80,Kevin Smith
85,Evan Brydon
b,r,e,a,k
Classy,7
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Andrew Koerner
0,Melissa Hassler
0,Michael Denevan
0,Eda Altiok
0,Joseph Bryan
0,Tara Hobbs
0,Dhwani Shah
0,Charlie Hsu
0,Nicolas Sayavedra
0,KYLE NICHOLS-SCHMOLZE
0,Peter Bonanno
0,Zhimin Xie
0,Melissa Skevington
0,Yvonne Cheng
0,Allegra Mayer
0,Nicholas Davis
0,Angela Xiong
0,Wil Turner
0,Matthew Rubashkin
0,Simone Stolzoff
0,KATRINA SCHWARTZ
0,Josh Mitts
0,Ian Cutler
9,"Dana ""Zuul"" Nelson"
37,Frances Hamkins-Indik
39,Dan Morris
55,Tyler Condit
b,r,e,a,k
Groove,10
teamInfo,,"San Francisco, California",http://grooveultimate.com/,https://www.facebook.com/grooveultimate,@GrooveUltimate
0,Nick James
0,NICOLE JOHNSON
0,Alex Eacker
0,Nick Buccelli
2,Jason Edelman
5,Joseph Schindler
7,Alyssa Olson
9,Cameron Amey
9,Corinne Hanson
