Heavyweights 2016,Club - Men ,23,7,2016
Loves Park,IL,2016-07-23,2016-07-24
https://play.usaultimate.org/events/Heavyweights-2016/schedule/Men/Club-Men/
Black Market,2
teamInfo,,"Lombard, Illinois",https://www.BlackMarketUltimate.com,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
00,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
07,Kevin Yngve
08,Johnny Saniat
09,Nathan Kinsinger
14,David Woods
16,Kevin DeAngelis
19,Steven Czechowski
20,Sahaj Kumar
22,Brian Rathunde
23,Ryan Smith
29,Michael Koho
31,Daniel Miller
34,Christopher O'Hara
42,Jeff Robinson
45,Chris Santiago
57,Max Richards
62,Patrick Kaufmann
73,PATRICK HANSEN
78,Cameron Albin
79,Charles Furse
80,Peter Bennett
84,CJ O'Brien
87,Adam Wright
95,Zachary Diener
b,r,e,a,k
Beachfront Property,3
teamInfo,,"Chicago, Illinois",www.bfpultimate.com,https://www.facebook.com/BFPultimate,https://twitter.com/bfpultimate
0,Michael Ng
0,Drew Levorsen
0,Jeffrey Weis
0,Nate Boddy
0,Ricky Ramirez
0,Kyle Sternkopf
0,Judah Newman
0,Tyler Barrett
0,Jeffrey Spetter
0,Nick Myhre
0,Alex Birko
0,JEFF SURMIN
0,MICHAEL CALDERBANK
0,STEFAN BREITLING
5,JAMES TUNNEY
7,Jack Shanahan
06,Bradley Bolliger
10,Robert Lau
13,Karl Beck
25,Adam Wong
27,Joseph Illichman
28,Tom Abell
33,Wesley Groth
40,Anthony Davis
48,CHARLES HYDE
63,Zubair Abdulla
81,Michael McCafferty
b,r,e,a,k
MKE,1
teamInfo,,"Milwaukee, Wisconsin",mkeultimateclub@gmail.com,https://www.facebook.com/groups/1698029553807111/,https://twitter.com/MKE_ultimate
0,Joseph Lindsay
0,Evan Swiatek
0,Dan Margulis
0,Dan Magnant
0,SAM OUIMET
0,Joseph Blankenheim
0,William Mansfield
0,JOHN TOMKIEWICZ
0,Ben Ben Hirschman
0,Thomas Grodzicki
0,Gil Eisbruch
0,Ryan Sutter
