Club Terminus,Club - Men ,23,7,2016
East Point,GA,2016-07-23,2016-07-24
https://play.usaultimate.org/events/Club-Terminus-2016/schedule/Men/Club-Men/
Turbine,1
teamInfo,,"Chapel Hill/ Durham, North Carolina",,https://www.facebook.com/turbineultimate/,https://twitter.com/turbineultimate
0,Thomas Grigg
3,Dean Culver
7,Preston Earp
8,Matthew Rushing
01,Andrew Cohen
02,Charlie Muniz
11,Player Pierce
13,CJ Colicchio
14,Peter Barry
15,Kerry Green
16,Sean Kelley
17,Schuyler Kylstra
21,Cam Bellando
22,taylor minch
24,LUIS ROYO ROMERO
25,Michael Pannone
27,Daniel Schopler
33,Jesse Lieberman
40,Jon Stone
71,Clint McSherry
72,Benjamin Landry
79,Matt Bode
80,Benj Thomsen
81,Michael Ball
86,Lance McNicoll
88,Alan Best
b,r,e,a,k
UpRoar,9
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
5,Caleb Johnson
02,Jonathan Beilan
03,Nathanael (Nate) Vazquez
06,John Taylor
07,Jack Dupell
10,Brian Shinners
11,Austin Simpson
16,JONATHAN STREETMAN
17,Aron Andino
19,Clay Hewett
20,Corey Branam
22,Peter Masone
27,Anthony Gutierrez
31,Keith Patterson
33,Ryan Graydon
35,Dwayne Young
37,Corey Bennett
40,KEITH PENU
42,KEVIN ORNER
44,Vikrant Pendharkar
51,ERIC SIEGMUND
52,Josh McKisic
56,Parker Marsh
87,TAD PALMER
96,Larry (Butch) Brown
99,Garth Reimann
b,r,e,a,k
Cerberus,8
teamInfo,,"Athens, Georgia",,,
0,Sam Batson
0,John Langstaff
0,Patrick Trent
0,Jim Heneghan
0,Rusty Watson
0,Wright (William) Dickerson
0,Devin Gray
0,Jason Jones
4,Vinny Nguyen
6,Kyle Devins
7,Fernando Ortiz
9,Adam Cross
9,Foster Boales
10,Adam Burgess
11,Stephen Cook
16,Hunter Cutts
20,Zach Hsu
22,Jon Ross Ingley
29,Mason Cary
42,Christopher Molnar
48,Andrew Fortier
60,David William Petmecky
88,Brandon Li
90,Ben Llena
b,r,e,a,k
Misfit,16
teamInfo,,"Asheville, North Carolina",,,
0,Dillon Denson
01,Patrick Duda
03,Matt Gordon
05,Mitchell Fanning
07,Daniel  Manning 
08,Lucas Denson
33,Alex Hintz
43,Aaron Stern
64,Alex Deckard
88,Matthew Glenn
b,r,e,a,k
Freaks,2
teamInfo,,"Huntsville, Alabama",http://huntsvilleultimate.com/wordpress/,https://www.facebook.com/FreaksUvNature,https://twitter.com/freaksultimate
coaches,Chris Brackbill
0,Stephen Brandon
0,Tannon Hedges
0,Collin Orcutt
0,Michael Mobley
1,Zack Avello
2,Nathan Sims
4,Jason Williams
4,Blake Waldron
5,Timothy Barczak
9,Javier Ortiz
10,Yusuf Abdullah
10,Danny On
11,Nathan Burch
13,Cody Smith
14,Mark Philipson
17,Nick Peppers
19,Matthew Radcliffe
24,Ethan Hodges
27,Michael Volz
33,Frank Strasser
34,Isaiah Radcliffe
39,PETER WILKERSON
42,Tim Hoggard
50,Sean Allan
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
BaNC,7
teamInfo,,"Charlotte, North Carolina",,,
0,DAVID CRESPI
0,Jason Rome
0,Aaron Coble
0,Bryce McAvoy
0,Caleb Ritchie
0,Austin Lourie
0,JOSHUA RITCHIE
0,Kartik Sethuraman
0,Juan Castaneda
3,Andrew Hager
4,Danny Chao
8,DURAN JONES
11,Brian Lang
13,Theodore Watkins
13,Daniel Dehlin
21,Corey Silvestri
24,Cliff Totherow
28,Andrew Gruninger
33,Samuel Lee
34,Daniel Lee
42,Ryan Benitez
44,Graydon Miller
50,MATTHEW HUYNH
89,Alejandro Palomino
b,r,e,a,k
Shotgun,10
teamInfo,,"New Orleans, Louisiana",,,https://twitter.com/ShotgunUltimate
0,Jonathan Coleman
0,Timothy Robb
0,Logan Kruger
0,Michael Perry
0,Adharsh Ponnapakkam
0,Vincent Liang
0,PAUL WHITENER
0,ERIC SCHULTZ
0,David Hutzel
0,Parker Evans
0,JOHN BLOCH
0,Billy Donatuti
0,BRANDON XUEREB
0,Xin Shu
0,JAMES BRIER
1,Philip Lopez
8,Peter Warwick
8,Troy Nunez Jr
10,Jack Baba
11,Gary Lee
13,James Braendel
23,Shamit Dua
34,DAVID KAHN
38,Andrew Dreis
69,Mitchell Lutz
b,r,e,a,k
MS,15
teamInfo,Mississippi Club,"Jackson, Mississippi",https://www.facebook.com/turmoilultimate/,,https://twitter.com/msclubultimate
0,GREG BUTZ
0,Pratik Rout
0,Abraham Dabit
0,Wesley Zhang
0,Ben Caldwell
0,MARK BRELAND
5,Mark Sandefur
6,OMAR YASSIN
7,John Clemmer
10,Jason Teng
17,Carter Kittrell
32,Benjamin Leiker
42,HUNTER MARTIN
71,PAUL LAVALLEE
84,John Arender
87,William Woolverton
b,r,e,a,k
Ironmen,3
teamInfo,,"Birmingham, Alabama",,https://www.facebook.com/Ironmenultimate,https://twitter.com/BhamIronMen
0,Matthew Hardman
0,Thomas Echols
0,Blake Galloway
0,James  Poe
0,Payton Garlington
0,Jason Russell
0,Thomas Ballard
0,Michael Venezia
0,Michael Burke
0,Samuel Murphree
0,Josh Currey
0,Tanner Robinson
0,Christopher McBride
0,Chris Browning
0,Martin Newman
0,Ray Davenport
5,Eric Sjostrom
10,Scott Stone
11,Kelvin Williams
13,Ethan Downs
13,Carter Rae
16,Alexander Cape
18,Dane Jorgensen
23,Alexander Hill
24,Travis Midkiff
32,JUSTIN THIGPEN
45,Nathan Oaks
b,r,e,a,k
Kentucky Flying Circus,6
teamInfo,,"Louisville, Kentucky",kentuckyflyingcircus@gmail.com,https://www.facebook.com/kentuckyflyingcircus,https://twitter.com/KYFlyingCircus
0,Philip Hills
0,Colin Grandon
0,Lincoln Hirn
0,Emilio Bartlett Asenjo
0,Jessy Geary
0,Christopher Reynolds
0,Aaron Corley
0,Jason Crowe
0,Jonathan Rosen
0,Kegan Carroll
0,Corey Hardesty
0,Xavier Payne
0,Ben Sever
2,Matt Snyder
3,BRIAN PATE
7,Evan Mack
7,Benjamin Petrey
7,Jacob Turner
9,Russell Allen
19,Stephen Hendrickson
37,Seth Pierce
51,Chris Ginet
52,Kane Olson
76,Jordan Kinde
b,r,e,a,k
Smoke,11
teamInfo,,"Knoxville, Tennessee",,,
0,Nathan Kenner
1,Benjamin Dean
9,Samuel Feldman
18,Miciah Clay
19,Riley Scheyder
21,Harper Jones
23,John Gargiulo
24,Matthew Sui
25,Justin Badgett
27,Ben  Smith
33,Matthias Arras
48,Thomas Larocco
50,Alan Huels
90,Brett Coleman
b,r,e,a,k
Shrimp Boat,14
teamInfo,,"Tallahassee, Florida",,,
0,BRADLEY PATTERSON
0,James Dobson
0,Kyle Raab
0,Austin Bass
0,Kody Cotton
3,Tim Lootens
5,Driss Ziane
7,Carlito Que
7,Matt Childs
8,CHENTE ORTIZ
8,Michael Green
9,Scott Moore
15,David Jones
15,MORGAN STANLEY
19,Bryce Vokus
20,Keno Catabay
21,Robert Larsen
22,Spencer Howett
23,Peter Van Brussel
24,Dylan Claerbout
87,Daniel Miller
b,r,e,a,k
Bullet,4
teamInfo,,"Atlanta, Georgia",,https://www.facebook.com/Bulletultimate,https://twitter.com/BulletUltimate
0,Cardinal Clarke
0,Michael Price
0,Ryan James
0,Andrew Francis
0,Jacques Perivier
0,James ONeal (Neal) Hollis
0,Jericho Barbour
0,Ian Agnew
0,MICHAEL BUI
1,Charles Morris
2,Joshua Bush
4,Caleb Shorthouse
5,JOSEPH HANSON
6,Dakota Wellmaker
14,Nathan Vickroy
14,Charles Loudermilk
16,NOLAN KLINKE
21,Daniel Jones
22,ANDREW LIBOWSKY
23,STEVEN HEDGES
24,RYAN RANDALL
25,Robert Hunt
29,Matthew Caldwell
33,Devon Rogers
35,LAWRENCE LAUER
67,Devin Waldrop
87,Gino Mattace
88,WILLIAM NALLEY
b,r,e,a,k
Right Coast,5
teamInfo,,"Wilmington, North Carolina",,,@RightCoastILM
coaches,Brian Casey
0,Josh Norris
0,Jason Alexander
0,Xavier Maxstadt
0,Bryan Conklin
0,JARRETT BOWEN
0,Ian Hutton
0,Stephen Bender
0,MATT MASON
0,Joseph Sharp
2,Carl Matysek
13,Christopher Byrd
22,Brian Casey
23,Richard Jude
42,Jonathan Callahan
84,Rouse Carlton
88,Dalton Vestal
99,Thomas  Theunissen
b,r,e,a,k
Black Lung,13
teamInfo,,"Lexington, Kentucky",,,
0,Brandon Guyton
0,Jay White
0,Adam Garner
0,Kyle Cornell
0,Wei Yang
0,Ryland Barton
0,Mason Montgomery
0,ERIC NEACE
0,Tadhg Young
0,Mark Kraus
1,Adam Houk
3,Jake Carrico
3,Kyle Anderson
4,Michael Rudy
5,David High
6,Evan Caldwell
9,Preston Goulson
10,Larry Farmer Jr
11,Christopher Empie
13,Jared Gibson
13,Michael Harr
14,Matt Henry
27,Wyatt Driskell
30,Peter Dreisbach
69,Logan Graham
94,Austin Obenauf
b,r,e,a,k
Blade,12
teamInfo,,"Nashville, Tennessee",,https://www.facebook.com/bladeultimate,
0,Joseph Mayes
0,Patrick Doyle
