Northeast Men's Regionals,Club - Men ,10,9,2016
Devens,MA,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Northeast-Mens-Regionals-2016/schedule/Men/Club-Men/
Ironside,1
teamInfo,,"Boston, Massachusetts",http://www.bostonironside.com/,https://www.facebook.com/BostonIronside/,https://twitter.com/Boston_Ironside
coaches,Josh McCarthy,Jacob Luria,Matt Rebholz
02,Rustin Ingold-Smith
03,Kurt Gibson
04,Jason (Jay) Clark
05,Jordan Taylor
05,Josh Markette
07,William Neff
08,Thomas Edmonds
10,Tyler Chan
11,Christian Foster
12,Alex Simmons
13,Tom Annen
16,David Ferraro
17,R. Thomas Sayre-McCord
18,Jim Foster
19,William Dean
21,Jeff Graham
23,Mark Vandenberg
25,John Stubbs
27,Jack Hatchett
33,Russell Wallack
34,Jared Inselmann
35,Piers MacNaughton
38,Adrian Banerji
43,Jon Hirschberger
77,Danny Clark
84,Alex Kapinos
99,Andrew Hooker
b,r,e,a,k
PoNY,3
teamInfo,,"New York, New York",modules/common/www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
01,Markian Kuzmowycz
02,NICHOLAS SILBART
03,Jon Cox
04,Matt Hennessy
06,Michael Brenner
07,Clark Cofer
09,Matthew Lemar
10,Gerald Tigol
13,Alberto Alarcon
14,David Vuckovich
15,Kevin Norton
17,Luke Wolckenhauer
19,Isaac Saul
20,MICHAEL HENNESSY
22,Jack Marsh
23,William Katz
25,Gary Dixon
27,Lionel Wininger
29,Ian Guerin
31,Chris Kocher
33,Jake Herman
43,Josue Alorro
44,Robert (Robbie) Gillies
50,Milo Snyder
61,Matthew Weintraub
80,Michael Drost
83,Ryan Drost
b,r,e,a,k
Dig,4
teamInfo,,"Boston, Massachusetts",modules/common/digultimate@gmail.com,https://www.facebook.com/digultimate,https://twitter.com/digultimate
6,Rocco Essex-Linehan
02,Spencer Diamond
03,Ryan Rzepka
04,Tanner Halkyard
05,Michael Sender
06,Alex Cooper
07,GALEN CAMPBELL
08,Ben Sadok
09,Misha Sidorsky
10,Victor Luo
11,Mat Little
12,Tim Schoch
13,Hartley Greenwald
14,AIDAN PENN
15,Dylan Best
16,Jeffrey Babbitt
17,Joe Thompson
18,Jordan Taylor
