TCT Elite-Select Challenge 2016 (Oshadega Invite),Club - Men ,9,7,2016
Columbus,OH,2016-07-09,2016-07-10
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2016-Oshadega-Invite/schedule/Men/Club-Men/
Sub Zero,1
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/MedMenUltimate/,https://twitter.com/MedMenUltimate
0,Alex Jacoski
0,Ryan Vance
0,Daniel Selwyn
0,Cortland Broyles
0,Aaron Langley
0,Max Cassell
0,Houston Parks
0,Joseph Patterson
0,PERRY GORGEN
0,Aidan McLeod
0,James Robb
0,JOHN WALSH
0,Alex Kapiamba
0,Andre Martinez
0,Joseph DiPaula
0,Jay Weir
0,Raymond Mendoza
1,John Kerr
6,Frederick Perlman
7,Bryant Dean
7,Steven Wartinbee
8,Troy Holland
29,Matthew Dennin
30,Christian Boxley
32,Kyle Taylor
55,KIERAN BLAKEMORE
b,r,e,a,k
GOAT,2
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Scott Hastie
03,Andrew Carroll
06,Jaret Meron
12,Remi Ojo
15,Jacky Hau
17,Paul Tatulea
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
27,Nathan Hirst
28,Justin Foord
30,Brett Tan
41,Michael MacKenzie
45,David Hochhalter
61,Sachin Raina
72,Iain MacKenzie
81,Sam Paiva
82,Jay Boychuk
89,Mark Lloyd
91,Cameron Harris
b,r,e,a,k
Inception,7
teamInfo,,"Denver, Colorado",https://inceptionultimate.wordpress.com/,https://www.facebook.com/inceptionultimate,https://twitter.com/skiception
00,Sandy Brown
02,Andrew Priester
04,Jack Drumright
07,Kelly Moses
08,Dillon Whited
09,Joe Emery
11,Thomas Barry
12,Christopher Bonuel
15,Gabe Goodhart
17,Mo Scott
23,Vincent Ciaramitaro
25,Gabe Stump
28,Joel Crandall
30,Jonathan Stirk
31,John Dunlop
36,Ryan Lacy
37,Kyle Rogers
40,Samuel Hotaling
81,Dylan Salzman
87,Tim Hopp
88,Wil St. Charles
b,r,e,a,k
Cash Crop,11
teamInfo,,"Triangle, North Carolina",,,
0,Harold Henderson
0,Ryan  Schanz
0,Jacob McGoogan
0,Rhys Gretsch
0,Sean Murray
0,Alex (Evan) Grosskurth
0,MARSHALL WARD
1,Tyler French
4,Spencer Olmsted
5,George Lampron
7,Jordan Taylor
8,Ryan Werkmeister
00,Michael Neve
00,Clayton Carey
00,Walker Matthews
00,Liam Searles-Bohs
01,Mason Gardner
06,Ben Maxson
09,Jacob Mouw
10,Marcus Rovner
13,Alexander Walker
14,Kiron Allen
14,Dillon Lanier
15,Daniel Rolando
17,Spencer Beck
17,Brian Clark
45,Elijah Long
b,r,e,a,k
Black Market,14
teamInfo,,"Lombard, Illinois",https://www.BlackMarketUltimate.com,https://www.facebook.com/BlackMarketUltimate,https://twitter.com/blackmarketulti
00,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
06,Kevin Cleary
07,Kevin Yngve
08,Johnny Saniat
16,Kevin DeAngelis
20,Sahaj Kumar
22,Brian Rathunde
23,Ryan Smith
29,Michael Koho
31,Daniel Miller
36,Timothy Fergus
42,Jeff Robinson
45,Chris Santiago
57,Max Richards
59,Alex Champe
78,Cameron Albin
80,Peter Bennett
86,Adam Wright
95,Zachary Diener
b,r,e,a,k
PoNY,6
teamInfo,,"New York, New York",www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
00,NICHOLAS SILBART
00,Chris Kocher
00,William Katz
00,Matthew Lemar
00,Luke Wolckenhauer
00,Gary Dixon
00,Kevin Norton
00,Michael Drost
00,Clark Cofer
00,Ryan Drost
00,Jon Cox
00,Lionel Wininger
01,Markian Kuzmowycz
06,Michael Brenner
08,Ian Guerin
08,Jack Marsh
10,Gerald Tigol
10,Matt Hennessy
13,Alberto Alarcon
14,David Vuckovich
19,Isaac Saul
20,MICHAEL HENNESSY
33,Jake Herman
43,Josue Alorro
44,Robert (Robbie) Gillies
50,Milo Snyder
61,Matthew Weintraub
b,r,e,a,k
HIGH FIVE,3
teamInfo,,"Ohio, Michigan",,https://www.facebook.com/MichiganHighFive,https://twitter.com/HighFiveUlti
01,Alex Edinger
04,Nick Hamilton
05,Austin Engel
06,James Highsmith
07,John-Michael Guest
08,JESSE WOHL
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
13,Tim Meyers
14,Josh Botti
15,Connor Haley
16,Kevin Coulter
17,Keegan North
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Eric Schumacher
24,Jake Steslicki
28,Michael Jahn
33,Eric Hubbard
42,Mike Ogren
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
98,Dan Donovan
b,r,e,a,k
Garden State Ultimate,10
teamInfo,,"Princeton, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Eileen Murray
0,Dustin Becker
01,Matt Chun
02,Andrew O'Connor
04,Gregory Stolowski
05,Michael Campanella
08,Peter Jimenez
09,Kevin Wang
10,Shashank Alladi
11,Scott Xu
13,Quinn Hunziker
17,Sean Reischel
18,Jake Doyle
21,Jonathan (Tyler) Boyd-Meredith
22,Zachary Sands
23,Alec Hunziker
25,Charlie Patten
33,Jesse Hynes
34,Jacob Price
41,Marc Sands
43,Shawn Dacey
55,JAKE STEVELMAN
66,Jibran Mieser
70,Robert Patten
77,Bo Li
80,John Irvine
82,Marques Brownlee
91,Camen Piho
b,r,e,a,k
MKE,15
teamInfo,,"Milwaukee, Wisconsin",mkeultimateclub@gmail.com,https://www.facebook.com/groups/1698029553807111/,https://twitter.com/MKE_ultimate
0,Joseph Lindsay
0,Evan Swiatek
0,Dan Margulis
0,Dan Magnant
0,SAM OUIMET
0,Joseph Blankenheim
0,William Mansfield
0,JOHN TOMKIEWICZ
0,Ben Ben Hirschman
0,Thomas Grodzicki
0,Gil Eisbruch
0,Ryan Sutter
0,Scott Wenzel
0,TAYLOR DAVIS
0,Max Palzewicz
0,Nick Wismans
0,Benjamin Compton
3,Jay Kinzel
11,Jacob Scobey-Polacheck
12,Brian Benge
16,Troy Roberts
17,Drew Chapman
22,Alec Lenczner 
25,Sean Andryauskas
27,KIE DRISCOLL
49,Tim Posl
b,r,e,a,k
Johnny Bravo,4
teamInfo,,"Denver, Colorado",http://bravoultimate.org/,https://www.facebook.com/Johnny-Bravo-Ultimate-111884215492137/,https://twitter.com/BravoUltimate
0,Erik Hotaling
0,Calvin Delamere
0,Tom Tulett
0,Joshua Crane
0,Mark Rauls
0,J Wesley Chow
0,Will Lohre
0,Austin Gregersen
0,Ben Lohre
3,Jesse Roehm
7,David Wheeler
10,C Ryan Morgan
18,Philip Sun
19,Isaac Chestler
19,Ian Toner
22,Stanley Peterson
26,Owen Westbrook
27,Steve Schwab
34,Henry Konker
35,Todd Wolma
44,Jesse Fisher
45,Patrick (Ted) Barnett
83,Zachary Nager
b,r,e,a,k
Rhino,5
teamInfo,,"Portland, Oregon",http://www.pdxrhino.com/,https://www.facebook.com/pages/Portland-Rhino/406995056021898,https://twitter.com/RhinoUltimate
1,Tyler Cable
8,Benjamin Whitenack
01,Jacob Janin
11,Matt Melius
13,Timmy Perston
19,Christopher Vandervoort
19,James Shaw
21,Benjamin McGinn
27,Trevor Smith
54,Robert Korbel
55,Dylan Freechild
60,Leandro Marx
61,Camden Allison-Hall
61,Kristian Grobecker
61,Xander Cuizon Tice
61,Sam Franer
65,Topher Davis
69,Chris Hancock
69,Peter Woodside
69,Raphael Hayes
70,Christopher Strub
88,Sean Parker
b,r,e,a,k
Brickyard,9
teamInfo,,"Indianapolis, Indiana",,https://www.facebook.com/BrickyardUltimate/,https://twitter.com/brickyardindy
coaches,ERIC LEONARD
1,Keenan Plew
2,Nickolas Hutton
3,Christian Avila
6,Joseph Cari
7,Nathan Sevenish
7,Levi Jacobs
8,Kip Curtis
9,David Hortemiller
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
17,Ryan Jarvis
18,Carlton Anker
19,SPENCER LOSCAR
20,Nick Loughran
22,Kyle Cox
23,Zach Zebarth
28,Samuel Sohn
30,Walter Kasprzycki
33,Dana Granholm
36,Steven Naji
40,Brian Ventura
44,Donovan Triplett
76,Jason Yoder
78,Michael Ames
85,John Jones
87,Rick Gross
b,r,e,a,k
Imperial,16
teamInfo,,"Saint Paul, Minnesota",https://www.facebook.com/ImperialUlt,https://www.facebook.com/ImperialUlt,https://twitter.com/ImperialUlt
0,ALEC BLUM
1,Tyler Latham
5,Jonah Malenfant
6,Corey Clifford
12,Ryan Welch
13,Jordan Vlastuin
14,Tyler Thomegreene
19,Oscar Leinbach
21,Donovan ODowd
22,Mitchell McGahan
24,ISAAC RUFF
27,Krishna Mahajan
28,Dan Heuer
34,Luis Caballero
35,Ryan Pesch
55,Brandon McClintock
69,EVAN HEBERLEIN
85,Jesus Caballero
96,Tucker Hoffman
99,Samuel Reis
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sub Zero,PowderHogs,13,7,"07/09/2016, 09:00",Pool A,Final
Medicine Men,Smokestack,8,13,"07/09/2016, 09:00",Pool A,Final
Sub Zero,Medicine Men,13,7,"07/09/2016, 12:30",Pool A,Final
PowderHogs,Smokestack,10,8,"07/09/2016, 12:30",Pool A,Final
Sub Zero,Smokestack,12,10,"07/09/2016, 14:15",Pool A,Final
Medicine Men,PowderHogs,11,10,"07/09/2016, 14:15",Pool A,Final
pool,Pool B
GOAT,Cash Crop,13,5,"07/09/2016, 09:00",Pool B,Final
Inception,Black Market,13,7,"07/09/2016, 09:00",Pool B,Final
GOAT,Inception,13,10,"07/09/2016, 10:45",Pool B,Final
Cash Crop,Black Market,11,12,"07/09/2016, 10:45",Pool B,Final
GOAT,Black Market,13,5,"07/09/2016, 12:30",Pool B,Final
Inception,Cash Crop,10,12,"07/09/2016, 12:30",Pool B,Final
pool,Pool C
HIGH FIVE,PoNY,10,13,"07/09/2016, 10:45",Pool C,Final
Garden State Ultimate,MKE,13,7,"07/09/2016, 10:45",Pool C,Final
HIGH FIVE,Garden State Ultimate,13,8,"07/09/2016, 12:30",Pool C,Final
PoNY,MKE,13,5,"07/09/2016, 12:30",Pool C,Final
HIGH FIVE,MKE,12,7,"07/09/2016, 14:15",Pool C,Final
PoNY,Garden State Ultimate,13,11,"07/09/2016, 14:15",Pool C,Final
pool,Pool D
Johnny Bravo,Brickyard,13,7,"07/09/2016, 10:45",Pool D,Final
Rhino,Imperial,13,8,"07/09/2016, 10:45",Pool D,Final
Johnny Bravo,Rhino,13,12,"07/09/2016, 12:30",Pool D,Final
Brickyard,Imperial,13,7,"07/09/2016, 12:30",Pool D,Final
Johnny Bravo,Imperial,13,7,"07/09/2016, 14:15",Pool D,Final
Rhino,Brickyard,13,11,"07/09/2016, 14:15",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Johnny Bravo,GOAT,9,13,"07/10/2016, 14:15",1st Place Finals,Final
Inception,Johnny Bravo,9,13,"07/10/2016, 10:45",1st Place Semis,Final
PoNY,GOAT,7,13,"07/10/2016, 10:45",1st Place Semis,Final
Sub Zero,Inception,9,11,"07/10/2016, 09:00",1st Place Quarters,Final
Johnny Bravo,HIGH FIVE,13,10,"07/10/2016, 09:00",1st Place Quarters,Final
PoNY,Rhino,13,9,"07/10/2016, 09:00",1st Place Quarters,Final
GOAT,Smokestack,13,9,"07/10/2016, 09:00",1st Place Quarters,Final
Inception,Garden State Ultimate,13,6,"07/09/2016, 16:15",1st Place Prequarters,Final
HIGH FIVE,Cash Crop,12,5,"07/09/2016, 16:15",1st Place Prequarters,Final
PowderHogs,Rhino,11,13,"07/09/2016, 16:15",1st Place Prequarters,Final
Brickyard,Smokestack,8,13,"07/09/2016, 16:15",1st Place Prequarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Inception,PoNY,10,13,"07/10/2016, 12:30",3rd Place,Final
bracket,5th Place Bracket
HIGH FIVE,Rhino,10,11,"07/10/2016, 12:30",5th Place Finals,Final
Sub Zero,HIGH FIVE,11,12,"07/10/2016, 10:45",5th Place Semis,Final
Rhino,Smokestack,12,11,"07/10/2016, 10:45",5th Place Semis,Final
bracket,7th Place
Sub Zero,Smokestack,13,4,"07/10/2016, 12:30",7th Place,Final
bracket,9th Place Bracket
Garden State Ultimate,Brickyard,13,7,"07/10/2016, 10:45",9th Place Finals,Final
Garden State Ultimate,Cash Crop,13,10,"07/10/2016, 09:00",9th Place Semis,Final
PowderHogs,Brickyard,11,12,"07/10/2016, 09:00",9th Place Semis,Final
bracket,11th Place
Cash Crop,PowderHogs,7,13,"07/10/2016, 10:45",11th Place,Final
b,r,e,a,k
pools,13th-16th Place (Round Robin)
pool,13th Place Round Robin
Medicine Men,MKE,13,7,"07/09/2016, 16:15",13th Place Round Robin,Final
Black Market,Imperial,11,13,"07/09/2016, 16:15",13th Place Round Robin,Final
Medicine Men,Imperial,13,9,"07/10/2016, 12:30",13th Place Round Robin,Final
Black Market,MKE,11,12,"07/10/2016, 12:30",13th Place Round Robin,Final
Medicine Men,Black Market,13,11,"07/10/2016, 14:15",13th Place Round Robin,Final
MKE,Imperial,13,14,"07/10/2016, 14:15",13th Place Round Robin,Final
b,r,e,a,k
