President's Day Tournament 2016,College - Women ,13,2,2016
San Diego,CA,2016-02-13,2016-02-15
https://play.usaultimate.org/events/Presidents-Day-Tournament-2016/schedule/Women/CollegeWomen/
Oregon,1
teamInfo,Fugue,"Eugene, Oregon",pages.uoregon.edu/fugue/?,https://www.facebook.com/pages/Oregon-Fugue-Ultimate/480039102009173,https://twitter.com/OregonFugue
coaches,Claire Sharman,Danielle Hirsch,Katie Weatherhead
1,MARGARET KENNEDY
2,Jesse Shofner
3,Jamie Fleshman
4,Emily Fagan
5,Gabrielle Aufderheide
6,Morgan Caldwell
7,Alex Ode
8,Jaydra Rotolante
9,OLIVIA BARTRUFF
11,Bethany Kaylor
13,Amelia (Molly) Lanning
14,Sarafina Angstadt-Leto
19,Lillian Weaver
20,Hope Zima
22,Rachel Hershey
24,Madison Lostra
25,Foley Galvin
27,Hayley Wahlroos
43,Ella Hansen
44,KAITLIN BRUNIK
63,Ganell Snocker
b,r,e,a,k
California,5
teamInfo,Pie Queens ,"Berkeley, California",http://www.piequeens.org,https://www.facebook.com/piequeensultimate,https://www.twitter.com/piequeens
0,Danielle Murray
0,Jackelyne Nguyen
0,Petra Varkonyi
0,Marisa Rafter
0,Krystal Ching
0,Megan Pera
0,Mackensie Smith
0,Allegra Mayer
0,Jessalyn Siu
0,Mathilda Farrell
0,Yun-Yun Lin
0,Kathryn Carlson
1,Anna Wysen
10,Christy Jarman
14,Anjile An
15,Alison Griffith
18,Hannah Ellis
21,Alexandra Hasan
22,Elena Good
25,GRACE FLINTERMANN
89,Kimberly Long
b,r,e,a,k
Colorado College,4
teamInfo,Lysistrata's Tools,"Colorado Springs, Colorado",,,
02,Caitlin Hegg
05,Robin Fassett-Carman
06,Chloe Rowse
07,Frances Gellert
10,Hanna Ewell
12,Anna Doctor
13,Kiera Connelly
15,Emily Komie
16,Abigail Lew
17,Patty Weicht
19,Cate Ellison
20,Marlee Akerson
21,Elizabeth Alvin
22,Alexandra Peck
23,Rachael Maxwell
28,Monica Weindling
32,ALEXIE MILLIKIN
71,Erika Hiromitsu
81,Corey Baron
97,Christie Ma
b,r,e,a,k
Florida,9
teamInfo,FUEL,"Gainesville, Florida",gvilleultimate.com/FUEL/#!/,https://www.facebook.com/FUELenfuego,https://twitter.com/FUELenfuego
00,Jaime Estes
02,Courtney Testa
06,Harley Peters
07,Lily Moline
08,Lucy Berman
10,Tori Taylor
12,ANNA HINKELDEY
13,SIRENE DAGHER
15,Sarah Toth
19,Danielle Cordes
21,Jennifer Morrill
23,Alexis Brantly
69,Kylie Auble
69,Gabrielle  Krajniak
69,Jenn Maresca
73,Evangeline Abraham
80,Kelsea LeBeau
88,Tara Rambo
b,r,e,a,k
San Diego State,8
teamInfo,SDSU Gnomes,"San Diego, California",http://arc.sdsu.edu/womens_frisbee/,https://www.facebook.com/sdsugnomes,https://twitter.com/sdsuGNOMES
0,Katie Buote
0,Courtney  Hill
0,Kelly Dunlay
0,Camille Chamberlen
0,Colleen  Edwards
0,Sabrina Sambuceto
0,Allyson Fisher
0,Mithalee Thakkar
0,Bailey Beech
0,Sarah Schirle
0,Meghan Hardiman
0,Taylor Horrex
0,Megan Blair
0,ALYSSA CHARBONNEAU
0,Samantha  Zapanta
0,Ana Heris
0,Morgan Nichols
0,Alyssa  Lepore
0,Whitney Stephens
0,Kristen Dunlay
0,Avery Taylor
3,HALLIE TAYLOR
21,STACI HOWARD
22,LEILANI JONES
37,Hannah Price
b,r,e,a,k
Stanford,2
teamInfo,Superfly),"Stanford, California",http://ultimate.stanford.edu,https://facebook.com/superflyulti,https://twitter.com/SuperflyUlti
coaches,Jenny Wang,Robin Davis,Stephanie Lim
02,Veronica Cruz
03,Rachel Thomson
05,Anne Gordon
06,Carly Eckstrom
07,Natasha Field-marsham
08,Francesca Olguin
09,Amanda Somvilay
11,Freya Chay
12,Rosemarie Sandino
14,Monisha White
15,Annee Rempel
18,Michelle McGhee
22,Rachel Gianforte
23,Courtney Gegg
27,Deanna Abrams
30,Emma Heath
51,Shayla Harris
60,Caitlin Go
84,Hallie Dunham
b,r,e,a,k
California-Davis,6
teamInfo,Rogue,"Davis, California",ucdrogueultimate@weebly.com,https://www.facebook.com/UCDRogue,https://twitter.com/ucdrogue
0,Caterina Ziege
