ATL Classic 2016,Club - Men ,18,6,2016
East Point,GA,2016-06-18,2016-06-19
https://play.usaultimate.org/events/ATL-Classic-2016/schedule/Men/Club-Men/
Freaks,1
teamInfo,,"Huntsville, Alabama",http://huntsvilleultimate.com/wordpress/,https://www.facebook.com/FreaksUvNature,https://twitter.com/freaksultimate
coaches,Chris Brackbill
0,Collin Orcutt
0,Stephen Brandon
0,Tannon Hedges
0,Michael Mobley
1,Zack Avello
2,Nathan Sims
4,Jason Williams
4,Blake Waldron
5,Timothy Barczak
7,Beau Waldron
9,Javier Ortiz
10,Danny On
11,Nathan Burch
13,Cody Smith
14,Mark Philipson
17,Nick Peppers
19,Matthew Radcliffe
24,Ethan Hodges
27,Michael Volz
28,Cody Havens
34,Isaiah Radcliffe
39,PETER WILKERSON
42,Tim Hoggard
50,Sean Allan
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
Sour Mash,8
teamInfo,,"Nashville, Tennessee",http://www.NashvilleUltimate.com,,
0,MITCHELL SHOPE
0,WILLIAM DEAN HINTON
0,Adam Paicely
0,Grant Gardner
0,David Thomas
0,DANIEL CAMPBELL
0,Clay Leach
0,Garrett Bruce
2,Charlie Smith
5,Chase Hammond
5,Christopher Vanags
11,James Wright
12,Phillip Dougherty
12,Benjamin Godwin
22,Paul Lally
33,Cole Hudgin
34,John Carden
42,Andy Barnhart
44,LUKE HUDGIN
b,r,e,a,k
ATLiens,9
teamInfo,,"Atlanta, Georgia",,,@ATLiensYCC
coaches,Justin Mattingly,Cate Woodhurst
0,Brandon Kleber
01,Jay Burnett
02,Kaleb Frames
04,Noah Cohen
05,Bryson Levisay
07,Luke Smith
08,Krishan Chib
10,Travis Terrell
19,Stanley Birdsong
21,Coleman Tappero
22,Noah Li
23,John Roorbach
24,Noah Hammond
25,Evan Mapes
33,Drew Di Francesco
36,Henry Laseter
41,Theodore Sifnaios
44,Aaron Claytor
71,Houston Shrader
77,Stephen Myers
84,Alex Shrader
b,r,e,a,k
Skyline,16
teamInfo,,"Atlanta, Georgia",,,
0,Nigel Hagley
0,Jonathan Bo-o
