Southwest Mixed Regionals,Club - Mixed ,10,9,2016
Phoenix,AZ,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Southwest-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Mischief,1
teamInfo,,"San Francisco Bay Area, California",http://www.mischiefultimate.com/,https://www.facebook.com/MischiefUltimate/,https://twitter.com/mischief_nation
0,Matt West
2,Adam Brown
3,Preeti Nalavade
4,DREW KIM
6,James Hansell
7,Devon Williams
8,Jessica Madding
9,Andrew Berry
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
19,Ari Weitzman
20,Jenny Wang
25,Jacob Trivisoserrano
28,Catherine Chen
34,Evan Boucher
36,Matthew Heffernan
42,Robert Yeagle
45,GRACE FLINTERMANN
47,Gina Schumacher
66,Jackie Wang
80,Kevin Smith
85,Evan Brydon
b,r,e,a,k
Polar Bears,2
teamInfo,,"Berkeley, California",www.pbrawr.com,,@pbrawr
0,Michael Dirda
0,Sean Childers
0,Mia Greenwald
0,Marlena Hartman-Filson
0,Brandon Fein
0,Andrew Ouyang
0,James Sheridan
0,Sara Nolan
1,SCOTT ROEDER
5,Anne Gordon
9,Gregory Marliave
12,Ziyue Chen
12,Ryan Takayama
14,Kate Schlag
17,Margot Stert
18,Nicholas Alexander
21,Dulcy Docken
24,Alexander Max
25,Daniel Naruo
27,Morgan Greenwood
27,Aaron Hom
30,An-Chi Tsou
31,Ethan Falat
33,Ian Sweeney
40,Linh Hoang
42,Bob Madden
b,r,e,a,k
Dorado,5
teamInfo,,"San Diego, California",,https://www.facebook.com/doradoultimate,https://twitter.com/doradoultimate
0,Rebecca Zangaro
0,Maria Zavala
0,Elizabeth Cowan
1,JAMES LAI
2,Carlo Mosca
4,Julia Salvacion
5,Gavriel Gelbart
6,Peter Osseward
7,Jeremy Cho
8,Alistair McIntyre
10,Nate Pascale
11,Daniel Cox
12,Christopher Liu
13,Aimee Speaker
